market,market location,provider,provider product,provider unit,provider location,provider key,demand amount,stage,substage,component,classification rule
Transport,EUR,"transport, hydrogen, gaseous, lorry, unspecified","transport, hydrogen, gaseous, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '40a5fc7722ba48529ca9fe3d9ed28e86')",0.04000000000000001,Distribution,Transport,Gaseous H2 truck,exact transport activity
Transport,EUR,"transport, hydrogen, liquid, lorry, unspecified","transport, hydrogen, liquid, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",0.020000000000000004,Distribution,Transport,Liquid H2 truck,exact transport activity
Transport,EUR,gaseous hydrogen production,gaseous hydrogen production,kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '140fec13868a4f0ab927078173d067ae')",0.8000000000000002,Distribution,Conversion,Compression (lorry),exact conversion activity
Transport,EUR,liquid hydrogen production,liquid hydrogen production,kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",0.20000000000000004,Distribution,Conversion,Liquefaction,exact conversion activity
Chemicals,EUR,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '37b1d07e81ff4ef19e28d81f237f7f87')",0.662198480037262,Production,Production technology,PEM electrolysis,hydrogen production activity
Chemicals,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'efaf3da7aa5f44ecb0af34ffafd2d7c4')",3.6337398612638123e-06,Production,Production technology,Biomass gasification,hydrogen production activity
Chemicals,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'b8d42f7c276b40d0bedc718c17ebcd48')",0.3331903040787942,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
Chemicals,EUR,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '6b97ee1475fc4763b6623664477886be')",1.0944999582119917e-06,Production,Production technology,Coal gasification with CCS,hydrogen production activity
Chemicals,EUR,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '45811ec5a21e4cc98066ee5a481ca94e')",0.004606487644124302,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
Chemicals,EUR,"hydrogen supply, distributed by pipeline","hydrogen, gaseous, from pipeline",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",0.8,Distribution,Transport,Pipeline distribution,exact transport activity
Chemicals,EUR,compressor assembly for transmission hydrogen pipeline,"compressor, for hydrogen transmission",unit,RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",2.5816249138443937e-11,Distribution,Conversion,Compression (pipeline),pipeline compression input
Chemicals,EUR,"market group for electricity, low voltage","electricity, low voltage",kilowatt hour,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",1.4532430648803711,Distribution,Conversion,Compression (pipeline),pipeline compression input
Steel,EUR,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '37b1d07e81ff4ef19e28d81f237f7f87')",0.662198480037262,Production,Production technology,PEM electrolysis,hydrogen production activity
Steel,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'efaf3da7aa5f44ecb0af34ffafd2d7c4')",3.6337398612638123e-06,Production,Production technology,Biomass gasification,hydrogen production activity
Steel,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'b8d42f7c276b40d0bedc718c17ebcd48')",0.3331903040787942,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
Steel,EUR,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '6b97ee1475fc4763b6623664477886be')",1.0944999582119917e-06,Production,Production technology,Coal gasification with CCS,hydrogen production activity
Steel,EUR,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '45811ec5a21e4cc98066ee5a481ca94e')",0.004606487644124302,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
Steel,EUR,"transport, hydrogen, liquid, lorry, unspecified","transport, hydrogen, liquid, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",0.02,Distribution,Transport,Liquid H2 truck,exact transport activity
Steel,EUR,"hydrogen supply, distributed by pipeline","hydrogen, gaseous, from pipeline",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",0.8,Distribution,Transport,Pipeline distribution,exact transport activity
Steel,EUR,compressor assembly for transmission hydrogen pipeline,"compressor, for hydrogen transmission",unit,RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",2.5816249138443937e-11,Distribution,Conversion,Compression (pipeline),pipeline compression input
Steel,EUR,"market group for electricity, low voltage","electricity, low voltage",kilowatt hour,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",1.4532430648803711,Distribution,Conversion,Compression (pipeline),pipeline compression input
Steel,EUR,liquid hydrogen production,liquid hydrogen production,kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",0.2,Distribution,Conversion,Liquefaction,exact conversion activity
Cement,EUR,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '37b1d07e81ff4ef19e28d81f237f7f87')",0.662198480037262,Production,Production technology,PEM electrolysis,hydrogen production activity
Cement,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'efaf3da7aa5f44ecb0af34ffafd2d7c4')",3.6337398612638123e-06,Production,Production technology,Biomass gasification,hydrogen production activity
Cement,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'b8d42f7c276b40d0bedc718c17ebcd48')",0.3331903040787942,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
Cement,EUR,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '6b97ee1475fc4763b6623664477886be')",1.0944999582119917e-06,Production,Production technology,Coal gasification with CCS,hydrogen production activity
Cement,EUR,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '45811ec5a21e4cc98066ee5a481ca94e')",0.004606487644124302,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
Cement,EUR,"transport, hydrogen, liquid, lorry, unspecified","transport, hydrogen, liquid, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",0.02,Distribution,Transport,Liquid H2 truck,exact transport activity
Cement,EUR,"hydrogen supply, distributed by pipeline","hydrogen, gaseous, from pipeline",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",0.8,Distribution,Transport,Pipeline distribution,exact transport activity
Cement,EUR,compressor assembly for transmission hydrogen pipeline,"compressor, for hydrogen transmission",unit,RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",2.5816249138443937e-11,Distribution,Conversion,Compression (pipeline),pipeline compression input
Cement,EUR,"market group for electricity, low voltage","electricity, low voltage",kilowatt hour,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",1.4532430648803711,Distribution,Conversion,Compression (pipeline),pipeline compression input
Cement,EUR,liquid hydrogen production,liquid hydrogen production,kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",0.2,Distribution,Conversion,Liquefaction,exact conversion activity
Other end uses,EUR,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '37b1d07e81ff4ef19e28d81f237f7f87')",0.662198480037262,Production,Production technology,PEM electrolysis,hydrogen production activity
Other end uses,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'efaf3da7aa5f44ecb0af34ffafd2d7c4')",3.6337398612638123e-06,Production,Production technology,Biomass gasification,hydrogen production activity
Other end uses,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'b8d42f7c276b40d0bedc718c17ebcd48')",0.3331903040787942,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
Other end uses,EUR,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '6b97ee1475fc4763b6623664477886be')",1.0944999582119917e-06,Production,Production technology,Coal gasification with CCS,hydrogen production activity
Other end uses,EUR,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '45811ec5a21e4cc98066ee5a481ca94e')",0.004606487644124302,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
Other end uses,EUR,"transport, hydrogen, gaseous, lorry, unspecified","transport, hydrogen, gaseous, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '40a5fc7722ba48529ca9fe3d9ed28e86')",0.0125,Distribution,Transport,Gaseous H2 truck,exact transport activity
Other end uses,EUR,"transport, hydrogen, liquid, lorry, unspecified","transport, hydrogen, liquid, lorry, unspecified",ton kilometer,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '88060eb76a2945a7a83a07e1ade2d15e')",0.025,Distribution,Transport,Liquid H2 truck,exact transport activity
Other end uses,EUR,"hydrogen supply, distributed by pipeline","hydrogen, gaseous, from pipeline",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",0.5,Distribution,Transport,Pipeline distribution,exact transport activity
Other end uses,EUR,compressor assembly for transmission hydrogen pipeline,"compressor, for hydrogen transmission",unit,RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '26b9a7ca463c4f8b96495542403b5cc8')",1.613515571152746e-11,Distribution,Conversion,Compression (pipeline),pipeline compression input
Other end uses,EUR,"market group for electricity, low voltage","electricity, low voltage",kilowatt hour,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '13f887da454449da9d91f12bd7f18f05')",0.9082769155502319,Distribution,Conversion,Compression (pipeline),pipeline compression input
Other end uses,EUR,gaseous hydrogen production,gaseous hydrogen production,kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '140fec13868a4f0ab927078173d067ae')",0.25,Distribution,Conversion,Compression (lorry),exact conversion activity
Other end uses,EUR,liquid hydrogen production,liquid hydrogen production,kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",0.25,Distribution,Conversion,Liquefaction,exact conversion activity
