from,to,name_from,ref_prod_from,location_from,name_to,ref_prod_to,location_to
37,35,"transport, freight, sea, container ship","transport, freight, sea, container ship",GLO,"transport, freight, sea, transoceanic ship","transport, freight, sea, transoceanic ship",
37,35,"market for nickel, class 1","nickel, class 1",GLO,"market for nickel, 99.5%","nickel, 99.5%",
39,36,"market for nickel, class 1","nickel, class 1",GLO,"market for nickel, 99.5%","nickel, 99.5%",
35,36,"market for transport, freight, sea, transoceanic tanker","transport, freight, sea, transoceanic tanker",GLO,"market for transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas","transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas",
35,36,"market for water, decarbonised, at user","water, decarbonised, at user",GLO,"market for water, decarbonised","water, decarbonised",DE
36,38,"market for water, decarbonised, at user","water, decarbonised, at user",GLO,"market for water, decarbonised","water, decarbonised",DE
36,37,"market for water, decarbonised, at user","water, decarbonised, at user",GLO,"market for water, decarbonised","water, decarbonised",DE
35,36,"market for water, completely softened, from decarbonised water, at user","water, completely softened, from decarbonised water, at user",GLO,"market for water, completely softened","water, completely softened",RER
35,36,market for concrete block,concrete block,GLO,,,DE
35,36,"steel production, electric, low-alloyed","steel, low-alloyed",Europe without Switzerland and Austria,,,RER
35,36,reinforcing steel production,reinforcing steel,Europe without Austria,,,RER
35,36,"market for steam, in chemical industry","steam, in chemical industry",GLO,,,RoW
35,36,zinc-lead mine operation,zinc concentrate,GLO,market for zinc concentrate,,
35,36,"platinum group metal mine operation, ore with high rhodium content","nickel, 99.5%",ZA,"platinum group metal, extraction and refinery operations","nickel, 99.5%",
35,36,market for aluminium oxide,aluminium oxide,GLO,"market for aluminium oxide, metallurgical","aluminium oxide, metallurgical","IAI Area, EU27 & EFTA"
35,37,"market for transport, freight, sea, transoceanic tanker","transport, freight, sea, transoceanic tanker",GLO,"market for transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas","transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas",
35,37,"market for water, decarbonised, at user","water, decarbonised, at user",GLO,"market for water, decarbonised","water, decarbonised",DE
35,37,"market for water, completely softened, from decarbonised water, at user","water, completely softened, from decarbonised water, at user",GLO,"market for water, completely softened","water, completely softened",RER
35,37,market for concrete block,concrete block,GLO,,,DE
35,38,"market for transport, freight, sea, transoceanic tanker","transport, freight, sea, transoceanic tanker",GLO,"market for transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas","transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas",
35,38,"market for water, decarbonised, at user","water, decarbonised, at user",GLO,"market for water, decarbonised","water, decarbonised",DE
35,38,"market for water, completely softened, from decarbonised water, at user","water, completely softened, from decarbonised water, at user",GLO,"market for water, completely softened","water, completely softened",RER
35,38,market for concrete block,concrete block,GLO,,,DE
37,35,"steel production, electric, low-alloyed","steel, low-alloyed",Europe without Switzerland and Austria,,,RER
35,37,"steel production, electric, low-alloyed","steel, low-alloyed",RER,,,Europe without Switzerland and Austria
35,37,reinforcing steel production,reinforcing steel,Europe without Austria,,,RER
35,37,"smelting of copper concentrate, sulfide ore","copper, anode",RoW,smelting and refining of nickel ore,"copper concentrate, sulfide ore",GLO
35,37,"market for steam, in chemical industry","steam, in chemical industry",GLO,,,RoW
35,37,zinc-lead mine operation,zinc concentrate,GLO,market for zinc concentrate,,
35,37,"platinum group metal mine operation, ore with high rhodium content","nickel, 99.5%",ZA,"platinum group metal, extraction and refinery operations","nickel, class 1",
35,37,market for aluminium oxide,aluminium oxide,GLO,"market for aluminium oxide, metallurgical","aluminium oxide, metallurgical","IAI Area, EU27 & EFTA"
35,37,market for copper,copper,GLO,"market for copper, anode","copper, anode",
35,37,"nickel mine operation, sulfidic ore","nickel, 99.5%",GLO,"market for nickel, class 1","nickel, class 1",
35,37,"market for ammonia, liquid","ammonia, liquid",RER,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",
35,37,"plywood production, for outdoor use","plywood, for outdoor use",RER,market for plywood,plywood,
35,38,"steel production, electric, low-alloyed","steel, low-alloyed",RER,,,Europe without Switzerland and Austria
35,38,reinforcing steel production,reinforcing steel,Europe without Austria,,,RER
35,38,"smelting of copper concentrate, sulfide ore","copper, anode",RoW,smelting and refining of nickel ore,"copper concentrate, sulfide ore",GLO
35,38,"market for steam, in chemical industry","steam, in chemical industry",GLO,,,RoW
35,38,zinc-lead mine operation,zinc concentrate,GLO,market for zinc concentrate,,
35,38,"platinum group metal mine operation, ore with high rhodium content","nickel, 99.5%",ZA,"platinum group metal, extraction and refinery operations","nickel, class 1",
35,38,market for aluminium oxide,aluminium oxide,GLO,"market for aluminium oxide, metallurgical","aluminium oxide, metallurgical","IAI Area, EU27 & EFTA"
35,38,market for copper,copper,GLO,"market for copper, anode","copper, anode",
35,38,"nickel mine operation, sulfidic ore","nickel, 99.5%",GLO,"market for nickel, class 1","nickel, class 1",
35,38,"market for ammonia, liquid","ammonia, liquid",RER,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",
35,38,"plywood production, for outdoor use","plywood, for outdoor use",RER,market for plywood,plywood,
37,36,"steel production, electric, low-alloyed","steel, low-alloyed",Europe without Switzerland and Austria,,,RER
37,36,reinforcing steel production,reinforcing steel,Europe without Austria,,,RER
37,36,"smelting of copper concentrate, sulfide ore","copper, anode",RoW,market for copper,copper,GLO
37,36,"market for copper, anode","copper, anode",GLO,market for copper,copper,GLO
37,36,"market for nickel, class 1","nickel, class 1",GLO,"market for nickel, 99.5%","nickel, 99.5%",
38,36,"market for nickel, class 1","nickel, class 1",GLO,"market for nickel, 99.5%","nickel, 99.5%",
37,36,kraft paper production,kraft paper,RER,"kraft paper production, bleached","kraft paper, bleached",
37,35,kraft paper production,kraft paper,RER,"kraft paper production, bleached","kraft paper, bleached",
37,36,"nitric acid production, product in 50% solution state","nitric acid, without water, in 50% solution state",RER w/o RU,,,RER
37,35,"nitric acid production, product in 50% solution state","nitric acid, without water, in 50% solution state",RER w/o RU,,,RER
37,36,"market for nitric acid, without water, in 50% solution state","nitric acid, without water, in 50% solution state",RER w/o RU,,,RER
37,35,"market for nitric acid, without water, in 50% solution state","nitric acid, without water, in 50% solution state",RER w/o RU,,,RER
38,35,"market for nitric acid, without water, in 50% solution state","nitric acid, without water, in 50% solution state",RER w/o RU,,,RER
38,36,"market for nitric acid, without water, in 50% solution state","nitric acid, without water, in 50% solution state",RER w/o RU,,,RER
37,36,"nickel mine operation and benefication to nickel concentrate, 7% Ni","nickel concentrate, 7% Ni",CN,"nickel mine operation, sulfidic ore","nickel, 99.5%",GLO
37,36,"nickel mine operation and benefication to nickel concentrate, 7% Ni","nickel concentrate, 7% Ni",RoW,"nickel mine operation, sulfidic ore","nickel, 99.5%",GLO
37,35,"nickel mine operation and benefication to nickel concentrate, 7% Ni","nickel concentrate, 7% Ni",CN,"nickel mine operation, sulfidic ore","nickel, 99.5%",GLO
37,35,"nickel mine operation and benefication to nickel concentrate, 7% Ni","nickel concentrate, 7% Ni",RoW,"nickel mine operation, sulfidic ore","nickel, 99.5%",GLO
36,37,market for copper,copper,GLO,"market for copper, anode","copper, anode",
36,37,"market for cellulose fibre, inclusive blowing in","cellulose fibre, inclusive blowing in",GLO,market for cellulose fibre,cellulose fibre,RoW
36,37,"nickel mine operation, sulfidic ore","nickel, 99.5%",GLO,"market for nickel, class 1","nickel, class 1",
36,37,"plywood production, for outdoor use","plywood, for outdoor use",RER,market for plywood,plywood,
35,37,"market for nickel, 99.5%","nickel, 99.5%",GLO,"market for nickel, class 1","nickel, class 1",
35,38,"market for nickel, 99.5%","nickel, 99.5%",GLO,"market for nickel, class 1","nickel, class 1",
36,37,"market for nickel, 99.5%","nickel, 99.5%",GLO,"market for nickel, class 1","nickel, class 1",
35,37,"market for urea, as N","urea, as N",GLO,market for urea,urea,RER
36,37,"market for urea, as N","urea, as N",GLO,market for urea,urea,RER
35,37,"market for ammonium sulfate, as N","ammonium sulfate, as N",GLO,market for ammonium sulfate,ammonium sulfate,RER
36,37,"market for ammonium sulfate, as N","ammonium sulfate, as N",GLO,market for ammonium sulfate,ammonium sulfate,RER
36,38,market for copper,copper,GLO,"market for copper, anode","copper, anode",
36,38,"market for cellulose fibre, inclusive blowing in","cellulose fibre, inclusive blowing in",GLO,market for cellulose fibre,cellulose fibre,RoW
36,38,"nickel mine operation, sulfidic ore","nickel, 99.5%",GLO,"market for nickel, class 1","nickel, class 1",
36,38,"plywood production, for outdoor use","plywood, for outdoor use",RER,market for plywood,plywood,
35,36,"plywood production, for outdoor use",plywood,RER,"plywood production, for outdoor use","plywood, for outdoor use",RER
35,36,"treatment of aluminium scrap, new, at refiner",aluminium oxide,RER,"treatment of aluminium scrap, new, at refiner","aluminium oxide, non-metallurgical",RER
38,36,"market for electricity, medium voltage, cobalt industry","electricity, medium voltage, cobalt industry",GLO,"market group for electricity, medium voltage","electricity, medium voltage",GLO
38,36,"market for nitric acid, without water, in 50% solution state","nitric acid, without water, in 50% solution state",CN,"market for nitric acid, without water, in 50% solution state","nitric acid, without water, in 50% solution state",RoW
38,36,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",CN,"market for ammonia, liquid","ammonia, liquid",RoW
38,36,"market for copper, anode","copper, anode",GLO,market for copper,copper,GLO
38,36,treatment of copper scrap by electrolytic refining,"copper, anode",RER,treatment of copper scrap by electrolytic refining,copper,RER
37,36,treatment of copper scrap by electrolytic refining,"copper, anode",RER,treatment of copper scrap by electrolytic refining,copper,RER
38,36,treatment of copper scrap by electrolytic refining,"copper, cathode",RER,treatment of copper scrap by electrolytic refining,copper,RER
37,36,treatment of copper scrap by electrolytic refining,"copper, cathode",RER,treatment of copper scrap by electrolytic refining,copper,RER
37,36,ammonium sulfate production,ammonium sulfate,RER,ammonium sulfate production,"ammonium sulfate, as N",RER
37,36,"processing of anode slime from electrorefining of copper, anode",copper telluride cement,GLO,"processing of anode slime, primary copper production",copper telluride cement,GLO
37,36,market for folding boxboard carton,folding boxboard carton,RER,market for folding boxboard/chipboard,folding boxboard/chipboard,GLO
38,36,ammonium sulfate production,ammonium sulfate,RER,ammonium sulfate production,"ammonium sulfate, as N",RER
38,36,"processing of anode slime from electrorefining of copper, anode",copper telluride cement,GLO,"processing of anode slime, primary copper production",copper telluride cement,GLO
37,36,urea production,urea,RER,"urea production, as N","urea, as N",RER
38,36,urea production,urea,RER,"urea production, as N","urea, as N",RER
37,36,"market for phosphoric acid, fertiliser grade, without water, in 70% solution state","phosphoric acid, fertiliser grade, without water, in 70% solution state",RER,"purification of wet-process phosphoric acid to industrial grade, product in 85% solution state","phosphoric acid, industrial grade, without water, in 85% solution state",RER
38,36,"market for phosphoric acid, fertiliser grade, without water, in 70% solution state","phosphoric acid, fertiliser grade, without water, in 70% solution state",RER,"purification of wet-process phosphoric acid to industrial grade, product in 85% solution state","phosphoric acid, industrial grade, without water, in 85% solution state",RER
37,36,"particleboard production, uncoated, average glue mix","particleboard, uncoated",RER,"particle board production, uncoated, average glue mix","particleboard, uncoated",RER
38,36,"particleboard production, uncoated, average glue mix","particleboard, uncoated",RER,"particle board production, uncoated, average glue mix","particleboard, uncoated",RER
38,36,market for folding boxboard carton,folding boxboard carton,RER,market for folding boxboard/chipboard,folding boxboard/chipboard,GLO
36,38,"market for nickel, 99.5%","nickel, 99.5%",GLO,"market for nickel, class 1","nickel, class 1",
35,38,"market for urea, as N","urea, as N",GLO,market for urea,urea,RER
36,38,"market for urea, as N","urea, as N",GLO,market for urea,urea,RER
35,38,"market for ammonium sulfate, as N","ammonium sulfate, as N",GLO,market for ammonium sulfate,ammonium sulfate,RER
36,38,"market for ammonium sulfate, as N","ammonium sulfate, as N",GLO,market for ammonium sulfate,ammonium sulfate,RER
37,36,"market for natural gas, high pressure, vehicle grade","natural gas, high pressure, vehicle grade",GLO,"market for natural gas, from high pressure network (1-5 bar), at service station","natural gas, from high pressure network (1-5 bar), at service station",
37,35,"market for natural gas, high pressure, vehicle grade","natural gas, high pressure, vehicle grade",GLO,"market for natural gas, from high pressure network (1-5 bar), at service station","natural gas, from high pressure network (1-5 bar), at service station",
35,37,"market for natural gas, from medium pressure network (0.1-1 bar), at service station","natural gas, from medium pressure network (0.1-1 bar), at service station",GLO,"market for natural gas, medium pressure, vehicle grade","natural gas, medium pressure, vehicle grade",
36,37,"market for natural gas, from medium pressure network (0.1-1 bar), at service station","natural gas, from medium pressure network (0.1-1 bar), at service station",GLO,"market for natural gas, medium pressure, vehicle grade","natural gas, medium pressure, vehicle grade",
35,38,"market for natural gas, from medium pressure network (0.1-1 bar), at service station","natural gas, from medium pressure network (0.1-1 bar), at service station",GLO,"market for natural gas, medium pressure, vehicle grade","natural gas, medium pressure, vehicle grade",
36,38,"market for natural gas, from medium pressure network (0.1-1 bar), at service station","natural gas, from medium pressure network (0.1-1 bar), at service station",GLO,"market for natural gas, medium pressure, vehicle grade","natural gas, medium pressure, vehicle grade",
37,35,"market for natural gas, medium pressure, vehicle grade","natural gas, medium pressure, vehicle grade",GLO,"market for natural gas, from medium pressure network (0.1-1 bar), at service station","natural gas, from medium pressure network (0.1-1 bar), at service station",
37,36,"market for natural gas, medium pressure, vehicle grade","natural gas, medium pressure, vehicle grade",GLO,"market for natural gas, from medium pressure network (0.1-1 bar), at service station","natural gas, from medium pressure network (0.1-1 bar), at service station",
38,36,"market for natural gas, medium pressure, vehicle grade","natural gas, medium pressure, vehicle grade",GLO,"market for natural gas, from medium pressure network (0.1-1 bar), at service station","natural gas, from medium pressure network (0.1-1 bar), at service station",
39,36,"market for natural gas, medium pressure, vehicle grade","natural gas, medium pressure, vehicle grade",GLO,"market for natural gas, from medium pressure network (0.1-1 bar), at service station","natural gas, from medium pressure network (0.1-1 bar), at service station",
35,37,"market for potassium sulfate, as K2O","potassium sulfate, as K2O",GLO,market for potassium sulfate,potassium sulfate,RER
36,37,"market for potassium sulfate, as K2O","potassium sulfate, as K2O",GLO,market for potassium sulfate,potassium sulfate,RER
35,37,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO,"market group for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",RER
36,37,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO,"market group for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",RER
35,37,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO,"market group for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",RER
36,37,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO,"market group for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",RER
35,37,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO,"market group for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",RER
36,37,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO,"market group for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",RER
35,38,"market for potassium sulfate, as K2O","potassium sulfate, as K2O",GLO,market for potassium sulfate,potassium sulfate,RER
36,38,"market for potassium sulfate, as K2O","potassium sulfate, as K2O",GLO,market for potassium sulfate,potassium sulfate,RER
35,38,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO,"market group for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",RER
36,38,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO,"market group for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",RER
35,38,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO,"market group for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",RER
36,38,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO,"market group for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",RER
35,38,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO,"market group for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",RER
36,38,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO,"market group for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",RER
37,35,market for road maintenance,road maintenance,RER,,,GLO
37,35,market for liquefied petroleum gas,liquefied petroleum gas,Europe without Switzerland,,,CH
37,35,"market for water, ultrapure","water, ultrapure",RER,,,GLO
39,36,market for electric arc furnace dust,electric arc furnace dust,RER,"market for dust, alloyed electric arc furnace steel","dust, alloyed electric arc furnace steel",GLO
38,36,market for electric arc furnace dust,electric arc furnace dust,RER,"market for dust, alloyed electric arc furnace steel","dust, alloyed electric arc furnace steel",GLO
37,36,market for electric arc furnace dust,electric arc furnace dust,RER,"market for dust, alloyed electric arc furnace steel","dust, alloyed electric arc furnace steel",GLO
37,35,market for electric arc furnace dust,electric arc furnace dust,RER,"market for dust, alloyed electric arc furnace steel","dust, alloyed electric arc furnace steel",GLO
39,36,market for electric arc furnace dust,electric arc furnace dust,RoW,"market for dust, alloyed electric arc furnace steel","dust, alloyed electric arc furnace steel",GLO
38,36,market for electric arc furnace dust,electric arc furnace dust,RoW,"market for dust, alloyed electric arc furnace steel","dust, alloyed electric arc furnace steel",GLO
37,36,market for electric arc furnace dust,electric arc furnace dust,RoW,"market for dust, alloyed electric arc furnace steel","dust, alloyed electric arc furnace steel",GLO
37,35,market for electric arc furnace dust,electric arc furnace dust,RoW,"market for dust, alloyed electric arc furnace steel","dust, alloyed electric arc furnace steel",GLO
39,36,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RER,"market for ammonia, liquid","ammonia, liquid",RER
37,36,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RER,"market for ammonia, liquid","ammonia, liquid",RER
37,36,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RoW,"market for ammonia, liquid","ammonia, liquid",RoW
37,35,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RoW,"market for ammonia, liquid","ammonia, liquid",RoW
37,35,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RER,"market for ammonia, liquid","ammonia, liquid",RER
37,36,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",US,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,35,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",US,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,36,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",US,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
37,35,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",US,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
37,36,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",US,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO
37,35,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",US,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO
37,36,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RNA,"market for ammonia, liquid","ammonia, liquid",RoW
37,35,"market for ammonia, anhydrous, liquid","ammonia, anhydrous, liquid",RNA,"market for ammonia, liquid","ammonia, liquid",RoW
37,36,market for urea ammonium nitrate mix,urea ammonium nitrate mix,RoW,"market for ammonium nitrate, as N","ammonium nitrate, as N",GLO
37,35,market for urea ammonium nitrate mix,urea ammonium nitrate mix,RoW,"market for ammonium nitrate, as N","ammonium nitrate, as N",GLO
37,36,"market for carbon dioxide, in chemical industry","carbon dioxide, in chemical industry",GLO,"market for carbon dioxide, liquid","carbon dioxide, liquid",RoW
37,35,"market for carbon dioxide, in chemical industry","carbon dioxide, in chemical industry",GLO,"market for carbon dioxide, liquid","carbon dioxide, liquid",RoW
37,36,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",BR,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,35,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",BR,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,36,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",BR,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
37,35,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",BR,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
37,36,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",BR,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO
37,35,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",BR,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO
37,36,"market for phosphoric acid, fertiliser grade, without water, in 70% solution state","phosphoric acid, fertiliser grade, without water, in 70% solution state",RoW,,,GLO
37,35,"market for phosphoric acid, fertiliser grade, without water, in 70% solution state","phosphoric acid, fertiliser grade, without water, in 70% solution state",RoW,,,GLO
37,36,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",ES,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,35,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",ES,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,36,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",ES,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
37,35,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",ES,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
37,36,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",ES,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO
37,35,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",ES,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO
37,36,market for diammonium phosphate,diammonium phosphate,RER,diammonium phosphate production,"phosphate fertiliser, as P2O5",RER
37,35,market for diammonium phosphate,diammonium phosphate,RER,diammonium phosphate production,"phosphate fertiliser, as P2O5",RER
37,36,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",CH,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,35,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",CH,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,36,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",CH,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
37,35,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",CH,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
37,36,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",CH,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO
37,35,"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",CH,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO
37,36,market for urea,urea,RER,"market for urea, as N","urea, as N",GLO
37,35,market for urea,urea,RER,"market for urea, as N","urea, as N",GLO
37,36,market for potassium sulfate,potassium sulfate,RER,"market for potassium sulfate, as K2O","potassium sulfate, as K2O",GLO
37,35,market for potassium sulfate,potassium sulfate,RER,"market for potassium sulfate, as K2O","potassium sulfate, as K2O",GLO
37,36,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",ID,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,35,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",ID,"market for nitrogen fertiliser, as N","nitrogen fertiliser, as N",GLO
37,36,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",ID,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
37,35,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",ID,"market for phosphate fertiliser, as P2O5","phosphate fertiliser, as P2O5",GLO
