name;source;description
Battery retention;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Battery tray;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Bimetallic busbars and washers;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Biodiesel from algae;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Biodiesel from cooking oil;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Biodiesel from palm oil;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Biodiesel from rapeseed oil;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
biogas upgrading - sewage sludge - amine scrubbing - best;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427ï¿½1436. https://doi.org/10.1039/c9se00986h;
biomethane from biogas upgrading - biowaste - amine scrubbing;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427ï¿½1436. https://doi.org/10.1039/c9se00986h;
Bipolar plate;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94ï¿½110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
Buffer tank;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
carbon dioxide capture system;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;
carbon dioxide, captured from atmosphere;Terlouw et al. 2021 (in review);Carbon dioxide captured by direct air capture (DAC). The DAC unit is located less than a kilometer away from the synthetic fuel plant. The CO2 is pressurized at 25 bar.
Carbon fibre, from acrylonitrile;Brian Cox, Wojciech Jemiolo, Chris Mutel, Life cycle assessment of air transportation and the Swiss commercial air transport fleet, Transportation Research Part D: Transport and Environment, Volume 58, 2018, Pages 1-13, ISSN 1361-9209, https://doi.org/10.1016/j.trd.2017.10.017;Manufacture of carbon fibre from acrylonitrile. Adapted from the LCA of aircrafts study from Cox et al. 2018.
Carbon monoxide, from RWGS;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111ï¿½7121. https://doi.org/10.1021/es500191g.;Production of carbon monoxide from carbon dioxide in a reverse water gas shift reactor.
Catalyst layer;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94ï¿½110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
Cathode;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Cathode current collector, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Cathode current collector, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Cathode paste, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;Paste for cathode for lithium ion-based ferrophosphate battery.
Cathode paste, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Cell container;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Clamps and fasteners;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
CO2 storage/at H2 production plant, pre, pipeline 200km, storage 1000m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;
Coating and curing, general manufacturing;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94ï¿½110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
Cobalt sulfate;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
container, with pipes and fittings, for diaphragm compressor;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
control panel, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;
Cooling system;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
cooling unit, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;
Crude Palm Oil extraction from FFBs {RER} |oil mill|;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Crude vegetable oil | oil mill: extraction of vegetable oil from rapeseed | Alloc Rec, U;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
diaphragm compressor module, high pressure;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
diaphragms, for diaphragm compressor;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
Diesel production, synthetic, Fischer Tropsch process, economic allocation;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111–7121. https://doi.org/10.1021/es500191g.;Adapted from van der Giesen et al. 2014. LHV: 43.3 MJ/kg, Formula: C13H18, Density: 7551 kg/m3. Economic allocation between 3 other co-products. Allocation key for this co-product: 16%. Post corrected to preserve carbon balance.
Diesel production, synthetic, Fischer Tropsch process, energy allocation;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111–7121. https://doi.org/10.1021/es500191g.;Adapted from van der Giesen et al. 2014. LHV: 43.3 MJ/kg, Formula: C13H18, Density: 7551 kg/m3. Energy-based allocation between 3 other co-products. Allocation key for this co-product: 37%. Post corrected to preserve carbon balance.
Disposal, hydrogen fuelling station;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
drilling, deep borehole/m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;Drilling of borehole for CO2 storage.
electricity production, at BIGCC power plant 450MW, pre, pipeline 200km, storage 1000m;Volkart et al., 2013, doi: 10.1016/j.ijggc.2013.03.003;Electricity produced from an integrated biomass gasification combined cycle power plant, with carbon capture and storage.
electricity production, at power plant/biogas, post, pipeline 200km, storage 1000m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;
electricity production, at wood burning power plant 20 MW, truck 25km, post, pipeline 200km, storage 1000m;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;
Electrolyte;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Electrolyte, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Electrolyte, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
End plate;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94ï¿½110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
End-busbar aluminum;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
End-busbar copper;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Essential BoP;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94ï¿½110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
Ethanol from forest residues;F. Cozzolini. Internal study for PSI.;Production of ethanol from forest residues. There is no burden associated with the supply of biomass residues. That includes no burden associated to the production of crops and no burden associated to direct and indirect land use change. The transport and comnditioning of the biomass residues is howver accounted for.
Ethanol from maize starch;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from maize starch. The burden associated with the supply of maize starch (e.g., direct and indirect land use change, fertlizers, electricity, etc.) is fully accounted for, as it is not a residual material. The transport and conditioning of the biomass residues is also accounted for.
Ethanol from sugarbeet;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from maize starch. The burden associated with the supply of maize starch (e.g., direct and indirect land use change, fertlizers, electricity, etc.) is fully accounted for, as it is not a residual material. The transport and conditioning of the biomass residues is also accounted for.
Ethanol from wheat grains;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from maize starch. The burden associated with the supply of maize starch (e.g., direct and indirect land use change, fertlizers, electricity, etc.) is fully accounted for, as it is not a residual material. The transport and conditioning of the biomass residues is also accounted for.
Ethanol from wheat straw pellets;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from forest residues. There is no burden associated with the supply of biomass residues. That includes no burden associated to the production of crops and no burden associated to direct and indirect land use change. The transport and comnditioning of the biomass residues is howver accounted for.
ethanol without biogas;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from forest residues. There is no burden associated with the supply of biomass residues. That includes no burden associated to the production of crops and no burden associated to direct and indirect land use change. The transport and comnditioning of the biomass residues is howver accounted for.
Fixed bed reactor for RWGS;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111–7121. https://doi.org/10.1021/es500191g.;The reactor vessel consists of 4760 kg of steel (assuming 50 pct low alloyed steel and 50 pct chromium steel) and is filled with a mixture of 440 kg of RWGS catalyst and 1780 kg of sorbent, which need to be renewed every 4 years. Over a reactor lifetime of 30 years therefore 30/4 x 440 kg = 3300 kg of catalyst and 30/4 x 1780 kg = 13350 kg of sorbent is needed. Since two identical reactors are use in parallel all numbers are doubled in the unit process representing the construction of the fixed bed reactor.
Fischer Tropsch reactor and upgrading plant, construction;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111ï¿½7121. https://doi.org/10.1021/es500191g.;Construction of a Fischer Tropsch reaction plant for the production of syntehtic diesel.
frequency converter, for diaphragm compressor;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
Fuel tank, compressed hydrogen gas, 700bar;Boureima et al. 2009;a Type IV fuel tank for automobile applications. It is an aluminium tank reinforced with carbon fibre. Fittings are stainless steel. Weight compoistion by material fraction from Argonne National Labs 2010 assessment.
Fuel tank, compressed hydrogen gas, 700bar, with aluminium liner;Evangelisti et al. 2017, doi: 10.1016/j.jclepro.2016.11.159;An aluminium lined hydrogen tank (Type III), weighting 93 kg per unit.
Fuel tank, compressed hydrogen gas, 700bar, with HDPE liner;Evangelisti et al. 2017, doi: 10.1016/j.jclepro.2016.11.159;a carbon fiber-resin (CF) composite-wrapped single tank system, with a high density polyethylene (HDPE) liner (i.e., Type IV tanks) capable of storing 5.6 kg usable hydrogen, weighting 119 kg per unit.
Gas Diffusion Layer;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94ï¿½110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
Gas-to-liquid plant construction;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111–7121. https://doi.org/10.1021/es500191g.;Represents an input of 1.120.000 m2 of land, 14.400 ton of steel in an assumed equal division of reinforcing and low alloyed steel, 345.000 m3 of concrete.
Gasoline production, synthetic, from methanol;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3ï¿½5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);the production of synthetic gasoline from methanol. The methanol is produced with hydrogen from electrolysis and carbon monoxide. The carbon monoxide orginates from carbon dioxde captured via direct air capture (DAC).
Glider lightweighting;Brian Cox, Christian Bauer, Angelica Mendoza Beltran, Detlef P. van Vuuren, Christopher L. Mutel, Life cycle environmental and cost comparison of current and future passenger cars under different energy scenarios, Applied Energy, Volume 269, 2020, 115021, ISSN 0306-619, https://doi.org/10.1016/j.apenergy.2020.115021.;
hardwood forestry, birch, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Ecoinvent dataset adjusted to correct the carbon balance.
hardwood forestry, beech, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Ecoinvent dataset adjusted to correct the carbon balance.
hardwood forestry, mixed species, sustainable forest management, CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Ecoinvent dataset adjusted to correct the carbon balance.
hardwood forestry, oak, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Ecoinvent dataset adjusted to correct the carbon balance.
heat exchanger, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;
Heat transfer plate;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
High voltage system;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
hot water tank, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;
Hydrogen dispenser, for gaseous hydrogen;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
Hydrogen refuelling station, SMR;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
Hydrogen, gaseous, 25 bar, from dual fluidised bed gasification of woody biomass with CCS, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Gaseous hydrogen at 25 bar before compression to 700 bar, produced from the gasification of woody biomass, with subsequent sequestration of carbon.
Hydrogen, gaseous, 25 bar, from dual fluidised bed gasification of woody biomass, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Gaseous hydrogen at 25 bar before compression to 700 bar, produced from the gasification of woody biomass.
Hydrogen, gaseous, 25 bar, from electrolysis;X. Zhang, C. Bauer, C.L. Mutel, K. Volkart, Life Cycle Assessment of Power-to-Gas: Approaches, system variations and their environmental implications, Appl Energy, 190 (2017), pp. 326-338, 10.1016/j.apenergy.2016.12.098;Hydrogen production by electrolysis. Output pressure of 25 bar. The electricity mix to operate the electrolyzer can be adapted. Assumed 58 kWh/kg H2.
Hydrogen, gaseous, 25 bar, from gasification of woody biomass in oxy-fired entrained flow gasifier, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;
Hydrogen, gaseous, 25 bar, from gasification of woody biomass in oxy-fired entrained flow gasifier, with CCS, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;
Hydrogen, gaseous, 30 bar, from hard coal gasification and reforming, at coal gasification plant;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage ï¿½ A techno-environmental analysis, doi: 10.1039/D0SE00222D;
Hydrogen, gaseous, 700 bar, ATR of NG, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage ï¿½ A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
