X;CountryCode;RegionCode
Panama;PAN;LAM
Pitcairn;PCN;OAS
Peru;PER;LAM
Philippines;PHL;OAS
Palau;PLW;OAS
Papua New Guinea;PNG;OAS
Poland;POL;EUR
Puerto Rico;PRI;LAM
Korea, Democratic People's Republic of;PRK;OAS
Portugal;PRT;EUR
Paraguay;PRY;LAM
Palestine, State of;PSE;MEA
French Polynesia;PYF;OAS
Qatar;QAT;MEA
Reunion;REU;SSA
Romania;ROU;EUR
Russian Federation;RUS;REF
Rwanda;RWA;SSA
Saudi Arabia;SAU;MEA
Sudan;SDN;MEA
Senegal;SEN;SSA
Singapore;SGP;OAS
South Georgia and the South Sandwich Islands;SGS;LAM
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA
Svalbard and Jan Mayen;SJM;NEU
Solomon Islands;SLB;OAS
Sierra Leone;SLE;SSA
El Salvador;SLV;LAM
San Marino;SMR;NEU
Somalia;SOM;SSA
Saint Pierre and Miquelon;SPM;CAZ
Serbia;SRB;NEU
South Sudan;SSD;SSA
Sao Tome and Principe;STP;SSA
Suriname;SUR;LAM
Slovakia;SVK;EUR
Slovenia;SVN;EUR
Sweden;SWE;EUR
Swaziland;SWZ;SSA
Sint Maarten (Dutch part);SXM;LAM
Seychelles;SYC;SSA
Syrian Arab Republic;SYR;MEA
Turks and Caicos Islands;TCA;LAM
Chad;TCD;SSA
Togo;TGO;SSA
Thailand;THA;OAS
Tajikistan;TJK;REF
Tokelau;TKL;OAS
Turkmenistan;TKM;REF
Timor-Leste;TLS;OAS
Tonga;TON;OAS
Trinidad and Tobago;TTO;LAM
Tunisia;TUN;MEA
Turkey;TUR;NEU
Tuvalu;TUV;OAS
Taiwan, Province of China;TWN;CHA
Tanzania, United Republic of;TZA;SSA
Uganda;UGA;SSA
Ukraine;UKR;REF
United States Minor Outlying Islands;UMI;OAS
Uruguay;URY;LAM
United States;USA;USA
Uzbekistan;UZB;REF
Holy See (Vatican City State);VAT;NEU
Saint Vincent and the Grenadines;VCT;LAM
Venezuela, Bolivarian Republic of;VEN;LAM
Virgin Islands, British;VGB;LAM
Virgin Islands, U.S.;VIR;LAM
Viet Nam;VNM;OAS
Vanuatu;VUT;OAS
Wallis and Futuna;WLF;OAS
Samoa;WSM;OAS
Yemen;YEM;MEA
South Africa;ZAF;SSA
Zambia;ZMB;SSA
Zimbabwe;ZWE;SSA
