name,product,ISIC rev.4 ecoinvent,CPC
"alkalization of QAPS, for RFB","quaternary ammonium polysulfone (QAPS), hydroxide form",2011:Manufacture of basic chemicals,34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]
"alloys production, for low-alloyed steel","alloys, for low-alloyed steel",2410:Manufacture of basic iron and steel,41122: Alloy steel in ingots or other primary forms and semi-finished products of alloy steel
"aluminium alloy production, AlLi","copper, cathode",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"aluminium alloy production, Metallic Matrix Composite","copper, cathode",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"aluminium busbar production, for LiS battery",aluminium busbar,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"aluminium collector foil, for Li-ion battery","aluminium collector foil, for Li-ion battery",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"aluminium current collector production, for Li-O2 battery",aluminium current collector,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"aluminium foil production, for LiS battery",aluminium foil,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
aluminium hydroxide production,aluminium hydroxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"aluminium ingot, primary, to aluminium, cast alloy market","aluminium, cast alloy",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
aluminium oxide production,"aluminium oxide, metallurgical",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"aluminium production, primary, ingot","aluminium, primary, ingot",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"aluminium production, primary, liquid, prebake","aluminium, primary, liquid",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"aluminium scrap, recovered from c-Si PV module treatment","aluminium scrap, recovered from c-Si PV module treatment",3821:Treatment and disposal of non-hazardous waste,39990: Other wastes n.e.c.
"amine-based silica production, for sorbent-based direct air capture system",amine-based silica,2011:Manufacture of basic chemicals,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]"
"ammonia production, hydrogen from coal gasification","ammonia, anhydrous, liquid",2011:Manufacture of basic chemicals,"34651: Ammonia, anhydrous"
"ammonia production, hydrogen from coal gasification with CCS","ammonia, anhydrous, liquid",2011:Manufacture of basic chemicals,"34651: Ammonia, anhydrous"
"ammonia production, hydrogen from electrolysis","ammonia, anhydrous, liquid",2011:Manufacture of basic chemicals,"34651: Ammonia, anhydrous"
"ammonia production, hydrogen from methane pyrolysis","ammonia, anhydrous, liquid",2011:Manufacture of basic chemicals,"34651: Ammonia, anhydrous"
"ammonia production, partial oxidation of oil","ammonia, anhydrous, liquid",2011:Manufacture of basic chemicals,"34651: Ammonia, anhydrous"
"ammonia production, steam reforming","ammonia, anhydrous, liquid",2012:Manufacture of fertilizers and nitrogen compounds,"34651: Ammonia, anhydrous"
"ammonia production, steam reforming with syngas and flue gas CCS","ammonia, anhydrous, liquid",2012:Manufacture of fertilizers and nitrogen compounds,"34651: Ammonia, anhydrous"
"ammonia production, steam reforming with syngas CCS","ammonia, anhydrous, liquid",2012:Manufacture of fertilizers and nitrogen compounds,"34651: Ammonia, anhydrous"
ammonia synthesis catalyst production,ammonia synthesis catalyst,2011:Manufacture of basic chemicals,"34651: Ammonia, anhydrous"
ampere charger production,ampere charger for home storage system,2011:Manufacture of basic chemicals,53269: Other constructions for manufacturing
"anode current collector, LFP","anode current collector, LFP",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"anode current collector, LTO","anode current collector, LTO",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"anode paste, LFP","anode paste, LFP",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"anode paste, LTO","anode paste, LTO",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"anode production, NaPBA, with fossil based precursor, for SIB battery","anode, NaPBA, with fossil based precursor",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"anode production, NMMT, with fossil based precursor, for SIB battery","anode, NMMT, with fossil based precursor",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"anode production, NVPF, with fossil based precursor, for SIB battery","anode, NVPF, with fossil based precursor",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"anode, graphite, for Li-ion battery","anode, graphite, for Li-ion battery",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
antimony production,antimony,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"assembly operation, for lorry","assembly operation, for lorry",4923:Freight transport by road,6511: Road transport services of freight
"auto-thermal reforming-hydrogen GT power plant, 400MWe","auto-thermal reforming-hydrogen GT power plant, 400MWe",4220:Construction of utility projects,53262: Power plants
"avoided burden from recycling, c-Si PV module","avoided burden from recycling, c-Si PV module",2610:Manufacture of electronic components and boards,39990: Other wastes n.e.c.
"avoided burden from recycling, CdTe PV module","avoided burden from recycling, CdTe PV module","3600:Water collection, treatment and supply","43914: Filtering or purifying machinery and apparatus, for liquids or gases, except oil filters, petrol filters and a[…]"
base 35858 chemical production,base 35858 chemical,2011:Manufacture of basic chemicals,342: Basic inorganic chemicals n.e.c.
battery 50kW,battery 50kW,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell assembly, Li-S",battery cell,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell deactivation, for LiS battery",cells to deactivation,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-ion, LFP","battery cell, Li-ion, LFP",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-ion, LTO","battery cell, Li-ion, LTO",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-ion, NCA","battery cell, Li-ion, NCA",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-ion, NMC111","battery cell, Li-ion, NMC111",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-ion, NMC523","battery cell, Li-ion, NMC523",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-ion, NMC532","battery cell, Li-ion, NMC532",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-ion, NMC622","battery cell, Li-ion, NMC622",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-ion, NMC811","battery cell, Li-ion, NMC811",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-ion, NMC955","battery cell, Li-ion, NMC955",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-O2",battery cell,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, Li-S","battery cell, LiS",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, SIB, with NaPBA cathode and fossil-HC anode",battery cell,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, SIB, with NMMT cathode and fossil-HC anode",battery cell,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery cell production, SIB, with NVPF cathode and fossil-HC anode",battery cell,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
battery Charger,battery Charger,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery management system assembly, for VRFB system","battery management system, for VRFB system",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery management system production, for Li-ion battery","battery management system, for Li-ion battery",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery module disassembly, for LiS battery",disassembled battery module,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery module production, for LiS battery","battery, LiS module",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery module production, for SiB battery","battery, SiB module",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
battery module system production,battery module system for home storage system module,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery pouch production, for LiS battery",battery pouch,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery production, Li-ion, NMC523","battery, Li-ion, NMC523",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery production, Li-ion, NMC532","battery, Li-ion, NMC532",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery production, Li-ion, NMC622","battery, Li-ion, NMC622",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery production, Li-ion, NMC955","battery, Li-ion, NMC955",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery production, Li-O2","battery, Li-O2",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"battery rack production, for LiS battery",battery rack,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
battery separator,battery separator,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
bauxite mine operation,bauxite,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
bentonite quarry operation,bentonite,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
beryllium hydroxide production,beryllium hydroxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
beryllium production,beryllium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"bicycle, battery electric, cargo bike","bicycle, battery electric, cargo bike",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"bicycle, conventional, urban","bicycle, conventional, urban",3091:Manufacture of motorcycles,49941: Parts and accessories of motorcycles and side-cars
"bicycle, electric (<25 km/h)","bicycle, electric (<25 km/h)",3091:Manufacture of motorcycles,49941: Parts and accessories of motorcycles and side-cars
"bicycle, electric (<45 km/h)","bicycle, electric (<45 km/h)",3091:Manufacture of motorcycles,49941: Parts and accessories of motorcycles and side-cars
"bimetallic busbar production, for LiS battery",bimetallic busbar,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"binder production, CMC-SBR, for SIB battery","binder, CMC-SBR",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"binder production, PVDF, for SIB battery","binder, PVDF",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"bio-propylene production, from methanol-to-propylene conversion","propylene, biogenic",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
"biochar, from spruce wood pyrolysis",biochar,3821:Treatment and disposal of non-hazardous waste,39990: Other wastes n.e.c.
"biodiesel production, via Fischer-Tropsch, from forest product (non-residual), energy allocation","biodiesel, from forest residues",1920:Manufacture of refined petroleum products,33360: Gas oil
"biodiesel production, via Fischer-Tropsch, from forest residues, energy allocation","biodiesel, from forest residues",1920:Manufacture of refined petroleum products,33360: Gas oil
"biodiesel production, via transesterification, from algae, energy allocation","biodiesel, from algae",2011:Manufacture of basic chemicals,39990: Other wastes n.e.c.
"biodiesel production, via transesterification, from palm oil, energy allocation","biodiesel, from palm oil",2011:Manufacture of basic chemicals,39990: Other wastes n.e.c.
"biodiesel production, via transesterification, from rapeseed oil, energy allocation","biodiesel, from rapeseed oil",2011:Manufacture of basic chemicals,3999: Other wastes n.e.c.
"biodiesel production, via transesterification, from used cooking oil, energy allocation","biodiesel, from cooking oil",1920:Manufacture of refined petroleum products,33360: Gas oil
"biodiesel production, via transesterification, from used cooking oil, with carbon capture and storage, energy allocation","biodiesel, from cooking oil","1020:Processing and preserving of fish, crustaceans and molluscs",39990: Other wastes n.e.c.
"biodiesel, burned in heavy-duty vehicle",heat,3530:Steam and air conditioning supply,17300: Steam and hot water
"biodiesel, burned in passenger car",heat,3530:Steam and air conditioning supply,17300: Steam and hot water
"biodiesel, burned in passenger train",heat,3530:Steam and air conditioning supply,17300: Steam and hot water
"biodiesel, burned in single deck coach or urban bus",heat,"3510:Electric power generation, transmission and distribution",17300: Steam and hot water
"biodiesel, from algae, at fuelling station","biodiesel, vehicle grade",1920:Manufacture of refined petroleum products,33360: Gas oil
"biodiesel, from palm oil, at fuelling station","biodiesel, vehicle grade",1920:Manufacture of refined petroleum products,33360: Gas oil
"biodiesel, from rapeseed oil, at fuelling station","biodiesel, vehicle grade",1920:Manufacture of refined petroleum products,33360: Gas oil
"biodiesel, from used cooking oil, at fuelling station","biodiesel, vehicle grade",1920:Manufacture of refined petroleum products,33360: Gas oil
"bioethanol, burned in motorcycle",heat,3530:Steam and air conditioning supply,17300: Steam and hot water
"biomethane production, from biogas upgrading, using amine scrubbing","biomethane, from biogas upgrading, using amine scrubbing",3821:Treatment and disposal of non-hazardous waste,"17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons"
"biomethane, burned in heavy duty vehicle",heat,3520:Manufacture of gas; distribution of gaseous fuels through mains,17300: Steam and hot water
"biomethane, burned in passenger car",heat,3530:Steam and air conditioning supply,17300: Steam and hot water
"biomethane, burned in residential natural gas boiler <100kW",heat,"3510:Electric power generation, transmission and distribution",17300: Steam and hot water
"biomethane, burned in single deck coach or urban bus",heat,"3510:Electric power generation, transmission and distribution",17300: Steam and hot water
"biomethane, gaseous, 5 bar, from sewage sludge fermentation, at fuelling station","biomethane, high pressure",3821:Treatment and disposal of non-hazardous waste,"17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons"
"bipolar plate production, for VRFB system","bipolar plate, for VRFB system","2710:Manufacture of electric motors, generators, transformers and electricity di","37690: Other worked monumental or building stone and articles thereof; other artificially coloured granules, chipping[…]"
"BMS production, for Li-O2 battery",BMS,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"BMS production, for LiS battery",BMS,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"board components and panel input to logic board, for LiS battery","BMS board and devices, unassembled",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"boric acid production, anhydrous, powder","boric acid, anhydrous, powder",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
boric oxide production,boric oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
boron carbide production,boron carbide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
boron trifluoride production,boron trifluoride,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"boundary seal production, for RFB",boundary seal,2011:Manufacture of basic chemicals,"37940: Bituminous mixtures based on natural and artificial stone materials and bitumen, natural asphalt or related su[…]"
"bromine, at plant","bromine, at plant",4220:Construction of utility projects,53262: Power plants
buffer tank,buffer tank,0161:Support activities for crop production,86119: Other support services to crop production
bulk lead-zinc concentrate to generic markets for zinc concentrate and lead concentrate,lead concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"cabin, for lorry","cabin, for lorry",4923:Freight transport by road,6511: Road transport services of freight
cable Trays TI EPR,cable Trays TI EPR,4290:Construction of other civil engineering projects,53262: Power plants
"cable, average, EPR","cable, average, EPR",4290:Construction of other civil engineering projects,53262: Power plants
cables,cables,0161:Support activities for crop production,86119: Other support services to crop production
"cadmium production, primary",cadmium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"cadmium sludge, recovered from CdTe PV module treatment","cadmium sludge, recovered from CdTe PV module treatment",3821:Treatment and disposal of non-hazardous waste,39920: Sewage sludge
"carbon dioxide capture, from flue gas emissions, using monoethanolamine","carbon dioxide capture, from flue gas emissions, using monoethanolamine",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide compression, transport and storage","carbon dioxide, stored",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide from syngas and flue gas combusiton, transport and injection in a geological reservoir","carbon dioxide from syngas and flue gas combusiton, transport and injection in a geological reservoir",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide from syngas combusiton, transport and injection in a geological reservoir","carbon dioxide from syngas combusiton, transport and injection in a geological reservoir",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage at hydrogen production plant, pre, pipeline 200km, storage 1000m","carbon dioxide storage at hydrogen production plant, pre, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage at hydrogen production plant, pre, pipeline 400km, storage 3000m","carbon dioxide storage at hydrogen production plant, pre, pipeline 400km, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage at synthetic natural gas plant, post, 200km pipeline, storage 1000m","carbon dioxide storage at synthetic natural gas plant, post, 200km pipeline, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage at synthetic natural gas plant, post, 400km pipeline, storage 3000m","carbon dioxide storage at synthetic natural gas plant, post, 400km pipeline, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide storage at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage at wood burning power plant 20 MW post, pipeline 400km, storage 3000m","carbon dioxide storage at wood burning power plant 20 MW post, pipeline 400km, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from hard coal, oxy, pipeline 200km, storage 1000m","carbon dioxide storage from hard coal, oxy, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from hard coal, oxy, pipeline 400km, storage 3000m","carbon dioxide storage from hard coal, oxy, pipeline 400km, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from hard coal, post, pipeline 200km, storage 1000m","carbon dioxide storage from hard coal, post, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from hard coal, post, pipeline 400km, storage 1000m","carbon dioxide storage from hard coal, post, pipeline 400km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from hard coal, post, pipeline 400km, storage 3000m","carbon dioxide storage from hard coal, post, pipeline 400km, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from hard coal, pre, pipeline 200km, storage 1000m","carbon dioxide storage from hard coal, pre, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from hard coal, pre, pipeline 400km, storage 3000m","carbon dioxide storage from hard coal, pre, pipeline 400km, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from lignite, oxy, pipeline 200km, storage 1000m","carbon dioxide storage from lignite, oxy, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from lignite, oxy, pipeline 400km, storage 3000m","carbon dioxide storage from lignite, oxy, pipeline 400km, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from lignite, post, pipeline 200km, storage 1000m","carbon dioxide storage from lignite, post, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from lignite, post, pipeline 400km, storage 3000m","carbon dioxide storage from lignite, post, pipeline 400km, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from lignite, pre, pipeline 200km, storage 1000m","carbon dioxide storage from lignite, pre, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from lignite, pre, pipeline 400km, storage 3000m","carbon dioxide storage from lignite, pre, pipeline 400km, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide storage from natural gas, post, 200km pipeline, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from natural gas, post, 400km pipeline, storage 1000m","carbon dioxide storage from natural gas, post, 400km pipeline, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from natural gas, post, 400km pipeline, storage 3000m","carbon dioxide storage from natural gas, post, 400km pipeline, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from natural gas, pre, 200km pipeline, storage 1000m","carbon dioxide storage from natural gas, pre, 200km pipeline, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide storage from natural gas, pre, 400km pipeline, storage 3000m","carbon dioxide storage from natural gas, pre, 400km pipeline, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide transport and injection in a geological reservoir, infrastructure","carbon dioxide transport and injection in a geological reservoir, infrastructure",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, at wood burning power plant, pipeline 200km, storage 1000m","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, by biochar application on mineral soil","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, by land-use change","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, by ocean liming","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, by olivine spreading on coastline","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, from a biomass fermentation plant","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, from a hydrogen production plant using steam methane reforming of biomethane","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
