scenario,chemistry,year,value
tc,NMC111,2049,0
tc,NMC111,2050,0
cont,NMC622,2010,0
cont,NMC622,2011,0
cont,NMC622,2012,0
cont,NMC622,2013,0
cont,NMC622,2014,0
cont,NMC622,2015,0
cont,NMC622,2016,0.026
cont,NMC622,2017,0.052
cont,NMC622,2018,0.078
cont,NMC622,2019,0.104
cont,NMC622,2020,0.13
cont,NMC622,2021,0.164
cont,NMC622,2022,0.198
cont,NMC622,2023,0.232
cont,NMC622,2024,0.266
cont,NMC622,2025,0.3
cont,NMC622,2026,0.273
cont,NMC622,2027,0.246
cont,NMC622,2028,0.219
cont,NMC622,2029,0.192
cont,NMC622,2030,0.165
cont,NMC622,2031,0.1605
cont,NMC622,2032,0.156
cont,NMC622,2033,0.1515
cont,NMC622,2034,0.147
cont,NMC622,2035,0.1425
cont,NMC622,2036,0.138
cont,NMC622,2037,0.1335
cont,NMC622,2038,0.129
cont,NMC622,2039,0.1245
cont,NMC622,2040,0.12
cont,NMC622,2041,0.114
cont,NMC622,2042,0.108
cont,NMC622,2043,0.102
cont,NMC622,2044,0.096
cont,NMC622,2045,0.09
cont,NMC622,2046,0.084
cont,NMC622,2047,0.078
cont,NMC622,2048,0.072
cont,NMC622,2049,0.066
cont,NMC622,2050,0.06
tc,NMC622,2010,0
tc,NMC622,2011,0
tc,NMC622,2012,0
tc,NMC622,2013,0
tc,NMC622,2014,0
tc,NMC622,2015,0
tc,NMC622,2016,0.026
tc,NMC622,2017,0.052
tc,NMC622,2018,0.078
tc,NMC622,2019,0.104
tc,NMC622,2020,0.13
tc,NMC622,2021,0.137
tc,NMC622,2022,0.144
tc,NMC622,2023,0.151
tc,NMC622,2024,0.158
tc,NMC622,2025,0.165
tc,NMC622,2026,0.148
tc,NMC622,2027,0.131
tc,NMC622,2028,0.114
tc,NMC622,2029,0.097
tc,NMC622,2030,0.08
tc,NMC622,2031,0.0765
tc,NMC622,2032,0.073
tc,NMC622,2033,0.0695
tc,NMC622,2034,0.066
tc,NMC622,2035,0.0625
tc,NMC622,2036,0.059
tc,NMC622,2037,0.0555
tc,NMC622,2038,0.052
tc,NMC622,2039,0.0485
tc,NMC622,2040,0.045
tc,NMC622,2041,0.0425
tc,NMC622,2042,0.04
tc,NMC622,2043,0.0375
tc,NMC622,2044,0.035
tc,NMC622,2045,0.0325
tc,NMC622,2046,0.03
tc,NMC622,2047,0.0275
tc,NMC622,2048,0.025
tc,NMC622,2049,0.0225
tc,NMC622,2050,0.02
cont,NMC811,2010,0
cont,NMC811,2011,0
cont,NMC811,2012,0
cont,NMC811,2013,0
cont,NMC811,2014,0
cont,NMC811,2015,0
cont,NMC811,2016,0.006
cont,NMC811,2017,0.012
cont,NMC811,2018,0.018
cont,NMC811,2019,0.024
cont,NMC811,2020,0.03
cont,NMC811,2021,0.051
cont,NMC811,2022,0.072
cont,NMC811,2023,0.093
cont,NMC811,2024,0.114
cont,NMC811,2025,0.135
cont,NMC811,2026,0.175
cont,NMC811,2027,0.215
cont,NMC811,2028,0.255
cont,NMC811,2029,0.295
cont,NMC811,2030,0.335
cont,NMC811,2031,0.3395
cont,NMC811,2032,0.344
cont,NMC811,2033,0.3485
cont,NMC811,2034,0.353
cont,NMC811,2035,0.3575
cont,NMC811,2036,0.362
cont,NMC811,2037,0.3665
cont,NMC811,2038,0.371
cont,NMC811,2039,0.3755
cont,NMC811,2040,0.38
cont,NMC811,2041,0.386
cont,NMC811,2042,0.392
cont,NMC811,2043,0.398
cont,NMC811,2044,0.404
cont,NMC811,2045,0.41
cont,NMC811,2046,0.416
cont,NMC811,2047,0.422
cont,NMC811,2048,0.428
cont,NMC811,2049,0.434
cont,NMC811,2050,0.44
tc,NMC811,2010,0
tc,NMC811,2011,0
tc,NMC811,2012,0
tc,NMC811,2013,0
tc,NMC811,2014,0
tc,NMC811,2015,0
tc,NMC811,2016,0.006
tc,NMC811,2017,0.012
tc,NMC811,2018,0.018
tc,NMC811,2019,0.024
tc,NMC811,2020,0.03
tc,NMC811,2021,0.039
tc,NMC811,2022,0.048
tc,NMC811,2023,0.057
tc,NMC811,2024,0.066
tc,NMC811,2025,0.075
tc,NMC811,2026,0.093
tc,NMC811,2027,0.111
tc,NMC811,2028,0.129
tc,NMC811,2029,0.147
tc,NMC811,2030,0.165
tc,NMC811,2031,0.1635
tc,NMC811,2032,0.162
tc,NMC811,2033,0.1605
tc,NMC811,2034,0.159
tc,NMC811,2035,0.1575
tc,NMC811,2036,0.156
tc,NMC811,2037,0.1545
tc,NMC811,2038,0.153
tc,NMC811,2039,0.1515
tc,NMC811,2040,0.15
tc,NMC811,2041,0.15
tc,NMC811,2042,0.15
tc,NMC811,2043,0.15
tc,NMC811,2044,0.15
tc,NMC811,2045,0.15
tc,NMC811,2046,0.15
tc,NMC811,2047,0.15
tc,NMC811,2048,0.15
tc,NMC811,2049,0.15
tc,NMC811,2050,0.15
cont,LFP,2010,0.36
cont,LFP,2011,0.36
cont,LFP,2012,0.36
cont,LFP,2013,0.36
cont,LFP,2014,0.36
cont,LFP,2015,0.36
cont,LFP,2016,0.368
cont,LFP,2017,0.376
cont,LFP,2018,0.384
cont,LFP,2019,0.392
cont,LFP,2020,0.4
cont,LFP,2021,0.4
cont,LFP,2022,0.4
cont,LFP,2023,0.4
cont,LFP,2024,0.4
cont,LFP,2025,0.4
cont,LFP,2026,0.4
cont,LFP,2027,0.4
cont,LFP,2028,0.4
cont,LFP,2029,0.4
cont,LFP,2030,0.4
cont,LFP,2031,0.4
cont,LFP,2032,0.4
cont,LFP,2033,0.4
cont,LFP,2034,0.4
cont,LFP,2035,0.4
cont,LFP,2036,0.4
cont,LFP,2037,0.4
cont,LFP,2038,0.4
cont,LFP,2039,0.4
cont,LFP,2040,0.4
cont,LFP,2041,0.4
cont,LFP,2042,0.4
cont,LFP,2043,0.4
cont,LFP,2044,0.4
cont,LFP,2045,0.4
cont,LFP,2046,0.4
cont,LFP,2047,0.4
cont,LFP,2048,0.4
cont,LFP,2049,0.4
cont,LFP,2050,0.4
tc,LFP,2010,0.36
tc,LFP,2011,0.36
tc,LFP,2012,0.36
tc,LFP,2013,0.36
tc,LFP,2014,0.36
tc,LFP,2015,0.36
tc,LFP,2016,0.368
tc,LFP,2017,0.376
tc,LFP,2018,0.384
tc,LFP,2019,0.392
tc,LFP,2020,0.4
tc,LFP,2021,0.37
tc,LFP,2022,0.34
tc,LFP,2023,0.31
tc,LFP,2024,0.28
tc,LFP,2025,0.25
tc,LFP,2026,0.245
tc,LFP,2027,0.24
tc,LFP,2028,0.235
tc,LFP,2029,0.23
tc,LFP,2030,0.225
tc,LFP,2031,0.2225
tc,LFP,2032,0.22
tc,LFP,2033,0.2175
tc,LFP,2034,0.215
tc,LFP,2035,0.2125
tc,LFP,2036,0.21
tc,LFP,2037,0.2075
tc,LFP,2038,0.205
tc,LFP,2039,0.2025
tc,LFP,2040,0.2
tc,LFP,2041,0.197
tc,LFP,2042,0.194
tc,LFP,2043,0.191
tc,LFP,2044,0.188
tc,LFP,2045,0.185
tc,LFP,2046,0.182
tc,LFP,2047,0.179
tc,LFP,2048,0.176
tc,LFP,2049,0.173
tc,LFP,2050,0.17
cont,LEAD-ACID,2010,0.16
cont,LEAD-ACID,2011,0.16
cont,LEAD-ACID,2012,0.16
cont,LEAD-ACID,2013,0.16
cont,LEAD-ACID,2014,0.16
cont,LEAD-ACID,2015,0.16
cont,LEAD-ACID,2016,0.148
cont,LEAD-ACID,2017,0.136
cont,LEAD-ACID,2018,0.124
cont,LEAD-ACID,2019,0.112
cont,LEAD-ACID,2020,0.1
cont,LEAD-ACID,2021,0.08
cont,LEAD-ACID,2022,0.06
cont,LEAD-ACID,2023,0.04
cont,LEAD-ACID,2024,0.02
cont,LEAD-ACID,2025,0
cont,LEAD-ACID,2026,0
cont,LEAD-ACID,2027,0
cont,LEAD-ACID,2028,0
cont,LEAD-ACID,2029,0
cont,LEAD-ACID,2030,0
cont,LEAD-ACID,2031,0
cont,LEAD-ACID,2032,0
cont,LEAD-ACID,2033,0
cont,LEAD-ACID,2034,0
cont,LEAD-ACID,2035,0
cont,LEAD-ACID,2036,0
cont,LEAD-ACID,2037,0
cont,LEAD-ACID,2038,0
cont,LEAD-ACID,2039,0
cont,LEAD-ACID,2040,0
cont,LEAD-ACID,2041,0
cont,LEAD-ACID,2042,0
cont,LEAD-ACID,2043,0
cont,LEAD-ACID,2044,0
cont,LEAD-ACID,2045,0
cont,LEAD-ACID,2046,0
cont,LEAD-ACID,2047,0
cont,LEAD-ACID,2048,0
cont,LEAD-ACID,2049,0
cont,LEAD-ACID,2050,0
tc,LEAD-ACID,2010,0.16
tc,LEAD-ACID,2011,0.16
tc,LEAD-ACID,2012,0.16
tc,LEAD-ACID,2013,0.16
tc,LEAD-ACID,2014,0.16
tc,LEAD-ACID,2015,0.16
tc,LEAD-ACID,2016,0.148
tc,LEAD-ACID,2017,0.136
tc,LEAD-ACID,2018,0.124
tc,LEAD-ACID,2019,0.112
tc,LEAD-ACID,2020,0.1
tc,LEAD-ACID,2021,0.095
tc,LEAD-ACID,2022,0.09
tc,LEAD-ACID,2023,0.085
tc,LEAD-ACID,2024,0.08
tc,LEAD-ACID,2025,0.075
tc,LEAD-ACID,2026,0.07
tc,LEAD-ACID,2027,0.065
tc,LEAD-ACID,2028,0.06
tc,LEAD-ACID,2029,0.055
tc,LEAD-ACID,2030,0.05
tc,LEAD-ACID,2031,0.0475
tc,LEAD-ACID,2032,0.045
tc,LEAD-ACID,2033,0.0425
tc,LEAD-ACID,2034,0.04
tc,LEAD-ACID,2035,0.0375
tc,LEAD-ACID,2036,0.035
tc,LEAD-ACID,2037,0.0325
tc,LEAD-ACID,2038,0.03
tc,LEAD-ACID,2039,0.0275
tc,LEAD-ACID,2040,0.025
tc,LEAD-ACID,2041,0.0225
tc,LEAD-ACID,2042,0.02
tc,LEAD-ACID,2043,0.0175
tc,LEAD-ACID,2044,0.015
tc,LEAD-ACID,2045,0.0125
tc,LEAD-ACID,2046,0.01
tc,LEAD-ACID,2047,0.0075
tc,LEAD-ACID,2048,0.005
tc,LEAD-ACID,2049,0.0025
tc,LEAD-ACID,2050,0
cont,VRFB,2010,0.06
cont,VRFB,2011,0.06
cont,VRFB,2012,0.06
cont,VRFB,2013,0.06
cont,VRFB,2014,0.06
cont,VRFB,2015,0.06
cont,VRFB,2016,0.058
cont,VRFB,2017,0.056
cont,VRFB,2018,0.054
cont,VRFB,2019,0.052
cont,VRFB,2020,0.05
cont,VRFB,2021,0.05
cont,VRFB,2022,0.05
cont,VRFB,2023,0.05
cont,VRFB,2024,0.05
cont,VRFB,2025,0.05
cont,VRFB,2026,0.05
cont,VRFB,2027,0.05
cont,VRFB,2028,0.05
cont,VRFB,2029,0.05
cont,VRFB,2030,0.05
cont,VRFB,2031,0.05
cont,VRFB,2032,0.05
cont,VRFB,2033,0.05
cont,VRFB,2034,0.05
cont,VRFB,2035,0.05
cont,VRFB,2036,0.05
cont,VRFB,2037,0.05
cont,VRFB,2038,0.05
cont,VRFB,2039,0.05
cont,VRFB,2040,0.05
cont,VRFB,2041,0.05
cont,VRFB,2042,0.05
cont,VRFB,2043,0.05
cont,VRFB,2044,0.05
cont,VRFB,2045,0.05
cont,VRFB,2046,0.05
cont,VRFB,2047,0.05
cont,VRFB,2048,0.05
cont,VRFB,2049,0.05
cont,VRFB,2050,0.05
tc,VRFB,2010,0.06
tc,VRFB,2011,0.06
tc,VRFB,2012,0.06
tc,VRFB,2013,0.06
tc,VRFB,2014,0.06
tc,VRFB,2015,0.06
tc,VRFB,2016,0.058
tc,VRFB,2017,0.056
tc,VRFB,2018,0.054
tc,VRFB,2019,0.052
tc,VRFB,2020,0.05
tc,VRFB,2021,0.08
tc,VRFB,2022,0.11
tc,VRFB,2023,0.14
tc,VRFB,2024,0.17
tc,VRFB,2025,0.2
tc,VRFB,2026,0.208
tc,VRFB,2027,0.216
tc,VRFB,2028,0.224
tc,VRFB,2029,0.232
tc,VRFB,2030,0.24
tc,VRFB,2031,0.245
tc,VRFB,2032,0.25
tc,VRFB,2033,0.255
tc,VRFB,2034,0.26
tc,VRFB,2035,0.265
tc,VRFB,2036,0.27
tc,VRFB,2037,0.275
tc,VRFB,2038,0.28
tc,VRFB,2039,0.285
tc,VRFB,2040,0.29
tc,VRFB,2041,0.294
tc,VRFB,2042,0.298
tc,VRFB,2043,0.302
tc,VRFB,2044,0.306
tc,VRFB,2045,0.31
tc,VRFB,2046,0.314
tc,VRFB,2047,0.318
tc,VRFB,2048,0.322
tc,VRFB,2049,0.326
tc,VRFB,2050,0.33
cont,NAS,2010,0.06
cont,NAS,2011,0.06
cont,NAS,2012,0.06
cont,NAS,2013,0.06
cont,NAS,2014,0.06
cont,NAS,2015,0.06
cont,NAS,2016,0.058
cont,NAS,2017,0.056
cont,NAS,2018,0.054
cont,NAS,2019,0.052
cont,NAS,2020,0.05
cont,NAS,2021,0.05
cont,NAS,2022,0.05
cont,NAS,2023,0.05
cont,NAS,2024,0.05
cont,NAS,2025,0.05
cont,NAS,2026,0.05
cont,NAS,2027,0.05
cont,NAS,2028,0.05
cont,NAS,2029,0.05
cont,NAS,2030,0.05
cont,NAS,2031,0.05
cont,NAS,2032,0.05
cont,NAS,2033,0.05
cont,NAS,2034,0.05
cont,NAS,2035,0.05
cont,NAS,2036,0.05
cont,NAS,2037,0.05
cont,NAS,2038,0.05
cont,NAS,2039,0.05
cont,NAS,2040,0.05
cont,NAS,2041,0.05
cont,NAS,2042,0.05
cont,NAS,2043,0.05
cont,NAS,2044,0.05
cont,NAS,2045,0.05
cont,NAS,2046,0.05
cont,NAS,2047,0.05
cont,NAS,2048,0.05
cont,NAS,2049,0.05
cont,NAS,2050,0.05
tc,NAS,2010,0.06
tc,NAS,2011,0.06
tc,NAS,2012,0.06
tc,NAS,2013,0.06
tc,NAS,2014,0.06
tc,NAS,2015,0.06
tc,NAS,2016,0.058
tc,NAS,2017,0.056
tc,NAS,2018,0.054
tc,NAS,2019,0.052
tc,NAS,2020,0.05
tc,NAS,2021,0.08
tc,NAS,2022,0.11
tc,NAS,2023,0.14
tc,NAS,2024,0.17
tc,NAS,2025,0.2
tc,NAS,2026,0.208
tc,NAS,2027,0.216
tc,NAS,2028,0.224
tc,NAS,2029,0.232
tc,NAS,2030,0.24
tc,NAS,2031,0.245
tc,NAS,2032,0.25
tc,NAS,2033,0.255
tc,NAS,2034,0.26
tc,NAS,2035,0.265
tc,NAS,2036,0.27
tc,NAS,2037,0.275
tc,NAS,2038,0.28
tc,NAS,2039,0.285
tc,NAS,2040,0.29
tc,NAS,2041,0.294
tc,NAS,2042,0.298
tc,NAS,2043,0.302
tc,NAS,2044,0.306
tc,NAS,2045,0.31
tc,NAS,2046,0.314
tc,NAS,2047,0.318
tc,NAS,2048,0.322
tc,NAS,2049,0.326
tc,NAS,2050,0.33
