url,status,detail,source,disposition
https://ecoinvent.org/app/uploads/2024/01/EULA_new_branding_08_11_2023.pdf,broken,404 Client Error: Not Found for url: https://ecoinvent.org/app/uploads/2024/01/EULA_new_branding_08_11_2023.pdf,getting_started/overview.rst,Review source URL
https://ecoinvent.org/the-ecoinvent-database/data-formats/ecospold2/,broken,404 Client Error: Not Found for url: https://ecoinvent.org/the-ecoinvent-database/data-formats/ecospold2/,methodology/workflow.rst,Review source URL
https://github.com/polca/premise/blob/master/premise/data/additional_inventories/lci-batteries-NMC622-LTO.xlsx.xlsx,broken,404 Client Error: Not Found for url: https://github.com/polca/premise/blob/master/premise/data/additional_inventories/lci-batteries-NMC622-LTO.xlsx.xlsx,methodology/battery-mobile.rst,Corrected against local packaged files during migration
https://greet.es.anl.gov/publication-update_cobalt,broken,403 Client Error: Forbidden for url: https://greet.es.anl.gov/publication-update_cobalt,methodology/metals.rst,Access denied; not evidence that the citation is invalid
https://pubs.acs.org/doi/abs/10.1021/acs.est.0c07773,broken,403 Client Error: Forbidden for url: https://pubs.acs.org/doi/abs/10.1021/acs.est.0c07773,methodology/transport/overview.rst,Access denied; not evidence that the citation is invalid
https://pubs.acs.org/doi/abs/10.1021/es500191g,broken,403 Client Error: Forbidden for url: https://pubs.acs.org/doi/abs/10.1021/es500191g,methodology/fuels/synthetic.rst,Access denied; not evidence that the citation is invalid
https://pubs.rsc.org/en/Content/ArticleLanding/2021/SE/D0SE01637C,broken,403 Client Error: Forbidden for url: https://pubs.rsc.org/en/Content/ArticleLanding/2021/SE/D0SE01637C,methodology/fuels/hydrogen.rst,Access denied; not evidence that the citation is invalid
https://models.pbl.nl/image/index.php/Welcome_to_IMAGE_3.2_Documentation,broken,502 Server Error: Bad Gateway for url: https://models.pbl.nl/image/index.php/Welcome_to_IMAGE_3.2_Documentation,getting_started/overview.rst,Network/server failure; retry later
https://pubs.rsc.org/en/content/articlelanding/2020/se/d0se00067a,broken,403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlelanding/2020/se/d0se00067a,methodology/fuels/hydrogen.rst,Access denied; not evidence that the citation is invalid
https://pubs.rsc.org/en/content/articlelanding/2022/se/d2se00096b,broken,403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlelanding/2022/se/d2se00096b,methodology/electricity/photovoltaics.rst,Access denied; not evidence that the citation is invalid
https://pubs.rsc.org/en/content/articlelanding/2020/se/d0se00222d,broken,403 Client Error: Forbidden for url: https://pubs.rsc.org/en/content/articlelanding/2020/se/d0se00222d,methodology/cdr.rst,Access denied; not evidence that the citation is invalid
https://globaltailingsreview.org/wpcontent/uploads/2020/09,broken,404 Client Error: Not Found for url: https://globaltailingsreview.org/wpcontent/uploads/2020/09,methodology/mining.rst,Review source URL
https://www.fvv-net.de/fileadmin/user_upload/medien/materialien/FVV-Kraftstoffstudie_LBST_2013-10-30.pdf,broken,404 Client Error: Not Found for url: https://www.fvv-net.de/fileadmin/user_upload/medien/materialien/FVV-Kraftstoffstudie_LBST_2013-10-30.pdf,methodology/fuels/synthetic.rst,Review source URL
https://www.mdpi.com/2313-0105/5/2/48,broken,403 Client Error: Forbidden for url: https://www.mdpi.com/2313-0105/5/2/48,methodology/battery-mobile.rst,Access denied; not evidence that the citation is invalid
https://www.nrel.gov/docs/libraries/pv/champion-module-efficiencies.pdf,broken,"HTTPSConnectionPool(host='www.nrel.gov', port=443): Max retries exceeded with url: /docs/libraries/pv/champion-module-efficiencies.pdf (Caused by NameResolutionError(""HTTPSConnection(host='www.nrel.gov', port=443): Failed to resolve 'www.nrel.gov' ([Errno 8] nodename nor servname provided, or not known)""))",methodology/electricity/photovoltaics.rst,Network/server failure; retry later
https://www.sciencedirect.com/science/article/pii/S0927024823001101,broken,403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S0927024823001101,methodology/electricity/photovoltaics.rst,Access denied; not evidence that the citation is invalid
https://www.sciencedirect.com/science/article/pii/S095965261832170X,broken,403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S095965261832170X,methodology/fuels/hydrogen.rst,Access denied; not evidence that the citation is invalid
https://www2.bgs.ac.uk/mineralsuk/statistics/worldStatistics.html,broken,404 Client Error: Not Found for url: https://www2.bgs.ac.uk/mineralsuk/statistics/worldStatistics.html,methodology/metals.rst,Review source URL
https://www.ucl.ac.uk/energy-models/models/tiam-ucl,broken,502 Server Error: Bad Gateway for url: https://www.ucl.ac.uk/energy-models/models/tiam-ucl,getting_started/overview.rst,Network/server failure; retry later
https://github.com/polca/premise/blob/master/premise/data/additional_inventories/lci-batteries-NMC111-811-NCA-LFP.xlsx.xlsx,broken,404 Client Error: Not Found for url: https://github.com/polca/premise/blob/master/premise/data/additional_inventories/lci-batteries-NMC111-811-NCA-LFP.xlsx.xlsx,methodology/battery-mobile.rst,Corrected against local packaged files during migration
https://github.com/polca/premise/blob/master/premise/data/additional_inventories/lci-vanadium.xlsx,broken,404 Client Error: Not Found for url: https://github.com/polca/premise/blob/master/premise/data/additional_inventories/lci-vanadium.xlsx,methodology/battery-stationary.rst,Corrected against local packaged files during migration
https://github.com/polca/premise/blob/master/premise/iam_variables_mapping/mapping_overview.xlsx,broken,404 Client Error: Not Found for url: https://github.com/polca/premise/blob/master/premise/iam_variables_mapping/mapping_overview.xlsx,reference/iam-variables.rst,Corrected against local packaged files during migration
https://github.com/polca/premise/blob/master/premise/data/battery/scenario.csv,broken,404 Client Error: Not Found for url: https://github.com/polca/premise/blob/master/premise/data/battery/scenario.csv,methodology/battery-mobile.rst,Corrected against local packaged files during migration
