name,reference product,ISIC rev.4 ecoinvent,CPC,EcoSpold01Categories,temporal_tag,tag_confidence,tag_notes,lifetime,age distribution type,loc,scale,minimum,maximum,param_confidence,param_notes
"wheat grain production, winter, organic, hill region","wheat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat winter organic hill — crop production per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"spelt grain production, conventional, mountain region",spelt grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,spelt conventional mountain — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, spring, conventional, plain region",wheat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat spring conventional plain — crop production per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, spring, organic, plain region","wheat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat spring organic plain — agricultural production | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, spring, conventional, hill region",wheat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat spring conventional hill — crop production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"triticale grain production, winter, organic, plain region","triticale grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,triticale winter organic plain — agricultural throughput | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, Swiss integrated production, extensive","wheat grain, Swiss integrated production","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat Swiss integrated extensive — production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, spring, organic, hill region","wheat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat spring organic hill — agricultural production per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, winter, conventional, mountain region",wheat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat winter conventional mountain — crop production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"triticale grain production, winter, conventional, mountain region",triticale grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,triticale winter conventional mountain — agricultural production | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, winter, conventional, plain region",wheat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat winter conventional plain — crop production per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"triticale grain production, winter, organic, mountain region","triticale grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,triticale winter organic mountain — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"spelt grain production, conventional, hill region",spelt grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,spelt conventional hill — crop production per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, spring, conventional, mountain region",wheat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat spring conventional mountain — agricultural production | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, winter, organic, plain region","wheat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,wheat winter organic plain — crop production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"spelt grain production, organic, hill region","spelt grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,spelt organic hill — agricultural production per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"triticale grain production, winter, conventional, hill region",triticale grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,triticale winter conventional hill — crop production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"spelt grain production, organic, plain region","spelt grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,spelt organic plain — agricultural production per kg | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"wheat grain production, winter, conventional, hill region",wheat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,Agricultural crop production (field cultivation) — steady-state process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"spelt grain production, conventional, plain region",spelt grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01112: Wheat, other",,biomass_growth,0.9,Agricultural crop production (field cultivation) — steady-state process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize seed production, Swiss integrated production, for sowing","maize seed, Swiss integrated production, for sowing",0164:Seed processing for propagation,"01121: Maize (corn), seed",agricultural means of production/seed,throughput_process,0.9,Seed processing for propagation — manufacturing/production process,1,,,,,,,
"maize seed production, organic, for sowing","maize seed, organic, for sowing",0164:Seed processing for propagation,"01121: Maize (corn), seed",agricultural means of production/seed,throughput_process,0.9,Seed processing for propagation — manufacturing/production process,1,,,,,,,
"maize seed production, for sowing","maize seed, for sowing",0164:Seed processing for propagation,"01121: Maize (corn), seed",agricultural means of production/seed,throughput_process,0.9,Seed processing for propagation — manufacturing/production process,1,,,,,,,
"maize seed production, organic, at farm","maize seed, organic, at farm","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01121: Maize (corn), seed",,biomass_growth,0.9,On‑farm seed production — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize seed production, at farm","maize seed, at farm","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01121: Maize (corn), seed",,biomass_growth,0.9,On‑farm seed production — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize seed production, Swiss integrated production, at farm","maize seed, Swiss integrated production, at farm","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01121: Maize (corn), seed",,biomass_growth,0.9,On‑farm seed production — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize grain processing, dry milling",maize chop,1061:Manufacture of grain mill products,"01122: Maize (corn), other",agricultural means of production/feed,throughput_process,0.9,Grain dry milling — steady manufacturing/processing process,1,,,,,,,
"maize grain production, first crop",maize grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,Agricultural crop production (field cultivation) — steady-state process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize grain production, organic, plain region","maize grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,Agricultural crop production (organic) — steady-state process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize grain production, Swiss integrated production","maize grain, Swiss integrated production","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,Agricultural crop production — steady-state process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize grain production, second crop",maize grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,Agricultural crop production (second crop) — steady-state process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
maize grain production,maize grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,Generic maize grain production — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize grain production, rainfed",maize grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,Rainfed maize production — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize grain production, conventional, hill region",maize grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,"Maize production, region-specific — agricultural production process | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize grain production, organic","maize grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,Organic maize production — steady agricultural process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize grain production, conventional, plain region",maize grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,"Maize production, plain region — agricultural production process | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"maize grain production, organic, hill region","maize grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01122: Maize (corn), other",,biomass_growth,0.9,"Organic maize production, hill region — agricultural production process | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rice production, non-basmati","rice, non-basmati",0112:Growing of rice,0113: Rice,,biomass_growth,0.9,Rice cultivation — agricultural production (growing) process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rice production, basmati","rice, basmati",0112:Growing of rice,0113: Rice,,biomass_growth,0.9,Rice cultivation (basmati) — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"barley seed production, Swiss integrated production, for sowing","barley seed, Swiss integrated production, for sowing",0164:Seed processing for propagation,"01151: Barley, seed",agricultural means of production/seed,throughput_process,0.9,Barley seed processing for sowing — seed production/process,1,,,,,,,
"barley seed production, organic, for sowing","barley seed, organic, for sowing",0164:Seed processing for propagation,"01151: Barley, seed",agricultural means of production/seed,throughput_process,0.9,Barley seed processing for sowing — seed production/process,1,,,,,,,
"barley seed production, for sowing","barley seed, for sowing",0164:Seed processing for propagation,"01151: Barley, seed",agricultural means of production/seed,throughput_process,0.9,Barley seed processing for sowing — seed production/process,1,,,,,,,
"barley grain production, organic","barley grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",agricultural production/plant production,biomass_growth,0.9,Organic barley production — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"barley grain production, winter, conventional, hill region",barley grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",,biomass_growth,0.9,"Barley cultivation, regional — agricultural production process | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
barley grain production,barley grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",,biomass_growth,0.9,Generic barley grain production — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"barley grain production, winter, conventional, mountain region",barley grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",,biomass_growth,0.9,"Barley cultivation, mountain region — agricultural production process | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"barley grain production, Swiss integrated production, intensive","barley grain, Swiss integrated production","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",,biomass_growth,0.9,Intensive integrated barley production — agricultural production process | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"barley grain production, winter, organic, hill region","barley grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",,biomass_growth,0.9,"Organic barley production, regional — agricultural production process | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"barley grain production, winter, organic, plain region","barley grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"barley grain production, winter, organic, mountain region","barley grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"barley grain production, winter, conventional, plain region",barley grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"barley grain production, Swiss integrated production, extensive","barley grain, Swiss integrated production","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01152: Barley, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rice seed production, for sowing","rice seed, for sowing",0164:Seed processing for propagation,"01161: Rye, seed",agricultural means of production/seed,throughput_process,0.85,seed production/processing (production throughput process),1,,,,,,,
"rye seed production, organic, for sowing","rye seed, organic, for sowing",0164:Seed processing for propagation,"01161: Rye, seed",agricultural means of production/seed,throughput_process,0.85,organic seed production (production/processing throughput),1,,,,,,,
"rye seed production, Swiss integrated production, for sowing","rye seed, Swiss integrated production, for sowing",0164:Seed processing for propagation,"01161: Rye, seed",agricultural means of production/seed,throughput_process,0.85,seed production at farm/processing (throughput process),1,,,,,,,
"rye seed production, for sowing","rye seed, for sowing",0164:Seed processing for propagation,"01161: Rye, seed",agricultural means of production/seed,throughput_process,0.85,seed production/processing (throughput process),1,,,,,,,
"rye production, organic","rye grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",agricultural production/plant production,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
rye production,rye grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rye grain production, winter, conventional, mountain region",rye grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rye production, Swiss integrated production, extensive","rye grain, Swiss integrated production","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rye grain production, winter, organic, hill region","rye grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rye grain production, winter, conventional, hill region",rye grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rye grain production, winter, organic, mountain region","rye grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rye production, Swiss integrated production, intensive","rye grain, Swiss integrated production","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rye grain production, winter, conventional, plain region",rye grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"rye grain production, winter, organic, plain region","rye grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01162: Rye, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"oat seed production, Swiss integrated production, at farm","oat seed, Swiss integrated production, at farm","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01171: Oats, seed",,biomass_growth,0.85,oat seed production at farm (seed production throughput) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
oat grain production,oat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01172: Oats, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"oat grain production, spring, organic, plain region","oat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01172: Oats, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"oat grain production, spring, conventional, hill region",oat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01172: Oats, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"oat grain production, spring, organic, mountain region","oat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01172: Oats, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"oat grain production, spring, conventional, plain region",oat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01172: Oats, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"oat grain production, spring, conventional, mountain region",oat grain,"0111:Growing of cereals (except rice), leguminous crops and oil seeds","01172: Oats, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"oat grain production, spring, organic, hill region","oat grain, organic","0111:Growing of cereals (except rice), leguminous crops and oil seeds","01172: Oats, other",,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
millet production,millet,"0111:Growing of cereals (except rice), leguminous crops and oil seeds",0118: Millet,,biomass_growth,0.9,agricultural crop production (primary throughput process) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
white asparagus production,white asparagus,"0113:Growing of vegetables and melons, roots and tubers",01211: Asparagus,,throughput_process,0.9,horticultural production (primary throughput process),1,,,,,,,
green asparagus production,green asparagus,"0113:Growing of vegetables and melons, roots and tubers",01211: Asparagus,,throughput_process,0.9,horticultural production (primary throughput process),1,,,,,,,
"white cabbage production, organic, plain region","white cabbage, organic","0113:Growing of vegetables and melons, roots and tubers",01212: Cabbages,,biomass_growth,0.9,vegetable production (primary agricultural throughput) | auto_tag_biomass_growth_from_co2_list,1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
red cabbage production,red cabbage,"0113:Growing of vegetables and melons, roots and tubers",01212: Cabbages,,biomass_growth,0.9,"primary agricultural crop production, no asset lifetime | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
white cabbage production,white cabbage,"0113:Growing of vegetables and melons, roots and tubers",01212: Cabbages,,biomass_growth,0.9,"primary agricultural crop production, no asset lifetime | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
"white cabbage production, conventional, plain region",white cabbage,"0113:Growing of vegetables and melons, roots and tubers",01212: Cabbages,,biomass_growth,0.9,"primary agricultural crop production, no asset lifetime | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
cauliflower production,cauliflower,"0113:Growing of vegetables and melons, roots and tubers",01213: Cauliflowers and broccoli,,throughput_process,0.9,"primary agricultural crop production, no asset lifetime",1,,,,,,,
broccoli production,broccoli,"0113:Growing of vegetables and melons, roots and tubers",01213: Cauliflowers and broccoli,,throughput_process,0.9,"primary agricultural crop production, no asset lifetime",1,,,,,,,
"broccoli production, conventional, plain region",broccoli,"0113:Growing of vegetables and melons, roots and tubers",01213: Cauliflowers and broccoli,,throughput_process,0.9,"primary agricultural crop production, no asset lifetime",1,,,,,,,
"cauliflower production, conventional, plain region",cauliflower,"0113:Growing of vegetables and melons, roots and tubers",01213: Cauliflowers and broccoli,,throughput_process,0.9,"primary agricultural crop production, no asset lifetime",1,,,,,,,
"cauliflower production, organic, plain region","cauliflower, organic","0113:Growing of vegetables and melons, roots and tubers",01213: Cauliflowers and broccoli,,throughput_process,0.9,"primary agricultural crop production, no asset lifetime",1,,,,,,,
"broccoli production, organic, plain region","broccoli, organic","0113:Growing of vegetables and melons, roots and tubers",01213: Cauliflowers and broccoli,,throughput_process,0.9,"primary agricultural crop production, no asset lifetime",1,,,,,,,
"lettuce production, in heated greenhouse",lettuce,"0113:Growing of vegetables and melons, roots and tubers",01214: Lettuce and chicory,,biomass_growth,0.9,"greenhouse vegetable production, production process | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
lettuce production,lettuce,"0113:Growing of vegetables and melons, roots and tubers",01214: Lettuce and chicory,,biomass_growth,0.9,"primary agricultural crop production, no asset lifetime | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
iceberg lettuce production,iceberg lettuce,"0113:Growing of vegetables and melons, roots and tubers",01214: Lettuce and chicory,,biomass_growth,0.9,"primary agricultural crop production, no asset lifetime | auto_tag_biomass_growth_from_co2_list",1,4,,,-1,0,0.2,biomass_growth_default_annual crops_from_co2_list
