market,method,impact category,unit,layer 1 group,component,absolute contribution,score per kg H2,share of total impact (%)
Cement,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification,4.7448830999291417e-07,0.6477818763424286,7.324816073460067e-05
Cement,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification with CCS,0.0678351273760055,0.6477818763424286,10.471908809647939
Cement,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Coal gasification with CCS,4.839446909214738e-06,0.6477818763424286,0.000747079701664349
Cement,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,PEM electrolysis,0.40896688258507785,0.6477818763424286,63.13342461728444
Cement,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Steam methane reforming with CCS,0.001794989934839375,0.6477818763424286,0.2770978936574188
Chemicals,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen distribution,0.027978712334433664,0.5674272928922389,4.930801299990896
Chemicals,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.06084626540541649,0.5674272928922389,10.723182717432646
Chemicals,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.5674272928922389,0.0
Chemicals,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification,4.7448830999291417e-07,0.5674272928922389,8.362098826342939e-05
Chemicals,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification with CCS,0.0678351273760055,0.5674272928922389,11.954858045379249
Chemicals,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Coal gasification with CCS,4.839446909214738e-06,0.5674272928922389,0.0008528752440770955
Chemicals,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,PEM electrolysis,0.40896688258507785,0.5674272928922389,72.07388289352967
Chemicals,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Steam methane reforming with CCS,0.001794989934839375,0.5674272928922389,0.31633831458654643
Generic,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen distribution,0.034973390418042066,0.5896335360036256,5.9313774204707075
Generic,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.07605783175677061,0.5896335360036256,12.89916992718388
Generic,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.5896335360036256,0.0
Generic,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification,4.7448830999291417e-07,0.5896335360036256,8.047173049363267e-05
Generic,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification with CCS,0.0678351273760055,0.5896335360036256,11.50462503129883
Generic,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Coal gasification with CCS,4.839446909214738e-06,0.5896335360036256,0.0008207550306611089
Generic,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,PEM electrolysis,0.40896688258507785,0.5896335360036256,69.35950172660519
Generic,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Steam methane reforming with CCS,0.001794989934839375,0.5896335360036256,0.3044246680752463
Other end uses,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen distribution,0.07839696336121979,0.6529844444129502,12.005946547731421
Other end uses,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0959851669264026,0.6529844444129502,14.699456893294867
Other end uses,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.6529844444129502,0.0
Other end uses,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification,4.7448830999291417e-07,0.6529844444129502,7.26645656037781e-05
Other end uses,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification with CCS,0.0678351273760055,0.6529844444129502,10.38847524721527
Other end uses,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Coal gasification with CCS,4.839446909214738e-06,0.6529844444129502,0.0007411274419508606
Other end uses,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,PEM electrolysis,0.40896688258507785,0.6529844444129502,62.63041732223033
Other end uses,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Steam methane reforming with CCS,0.001794989934839375,0.6529844444129502,0.27489015246804493
Steel,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen distribution,0.06911829422210725,0.6477818763424286,10.669995062592664
Steel,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.1000612661987543,0.6477818763424286,15.446752966250047
Steel,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.6477818763424286,0.0
Steel,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification,4.7448830999291417e-07,0.6477818763424286,7.324816073460067e-05
Steel,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification with CCS,0.0678351273760055,0.6477818763424286,10.471908809647939
Steel,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Coal gasification with CCS,4.839446909214738e-06,0.6477818763424286,0.000747079701664349
Steel,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,PEM electrolysis,0.40896688258507785,0.6477818763424286,63.13342461728444
Steel,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Steam methane reforming with CCS,0.001794989934839375,0.6477818763424286,0.2770978936574188
Transport,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen distribution,0.07149411242401532,0.6179114282145076,11.570284859531062
Transport,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.06781500097364189,0.6179114282145076,10.974874047822263
Transport,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.6179114282145076,0.0
Transport,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification,4.7448830999291417e-07,0.6179114282145076,7.678904909785805e-05
Transport,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Biomass gasification with CCS,0.0678351273760055,0.6179114282145076,10.978131214051048
Transport,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Coal gasification with CCS,4.839446909214738e-06,0.6179114282145076,0.000783194271580089
Transport,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,PEM electrolysis,0.40896688258507785,0.6179114282145076,66.18535665650535
Transport,"('IPCC 2021', 'climate change', 'GWP 100a, incl. H')","climate change — GWP 100a, incl. H (premise_gwp)",kg CO2-Eq,Production technology,Steam methane reforming with CCS,0.001794989934839375,0.6179114282145076,0.29049307924698964
Cement,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen distribution,2.840969364339051,26.877369747832898,10.570116759911434
Cement,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen leakage — distribution,0.0,26.877369747832898,0.0
Cement,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Ammonia leakage — Coal gasification with CCS,8.81284814786407e-07,26.877369747832898,3.278910187472732e-06
Cement,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification,1.3398334935261456e-05,26.877369747832898,4.984987393099265e-05
Cement,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification with CCS,1.7505626897084663,26.877369747832898,6.513147328523888
Cement,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Coal gasification with CCS,3.905451871338876e-05,26.877369747832898,0.00014530632677156848
Cement,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,PEM electrolysis,22.23307230606173,26.877369747832898,82.7204168959069
Cement,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Steam methane reforming with CCS,0.05271194890347335,26.877369747832898,0.19612019106789078
Chemicals,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen distribution,1.1772931110817788,25.213693476352994,4.6692608212514335
Chemicals,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen leakage — distribution,0.0,25.213693476352994,0.0
Chemicals,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Ammonia leakage — Coal gasification with CCS,8.81284814786407e-07,25.213693476352994,3.4952626659514677e-06
Chemicals,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification,1.3398334935261456e-05,25.213693476352994,5.313912040624777e-05
Chemicals,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification with CCS,1.7505626897084663,25.213693476352994,6.94290462184866
Chemicals,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Coal gasification with CCS,3.905451871338876e-05,25.213693476352994,0.00015489408067095197
Chemicals,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,PEM electrolysis,22.23307230606173,25.213693476352994,88.17856188706871
Chemicals,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Steam methane reforming with CCS,0.05271194890347335,25.213693476352994,0.20906079846219267
Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen distribution,1.4716163888522233,25.508016736580974,5.769230920810016
Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen leakage — distribution,0.0,25.508016736580974,0.0
Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Ammonia leakage — Coal gasification with CCS,8.81284814786407e-07,25.508016736580974,3.4549327134577223e-06
Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification,1.3398334935261456e-05,25.508016736580974,5.252597672968805e-05
Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification with CCS,1.7505626897084663,25.508016736580974,6.862794186574251
Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Coal gasification with CCS,3.905451871338876e-05,25.508016736580974,0.00015310684133816168
Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,PEM electrolysis,22.23307230606173,25.508016736580974,87.16111697612831
Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Steam methane reforming with CCS,0.05271194890347335,25.508016736580974,0.20664855856033407
Other end uses,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen distribution,3.1394560205039044,27.175856373104835,11.552371992997925
Other end uses,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen leakage — distribution,0.0,27.175856373104835,0.0
Other end uses,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Ammonia leakage — Coal gasification with CCS,8.81284814786407e-07,27.175856373104835,3.242896204215258e-06
Other end uses,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification,1.3398334935261456e-05,27.175856373104835,4.930234672759532e-05
Other end uses,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification with CCS,1.7505626897084663,27.175856373104835,6.441610029411797
Other end uses,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Coal gasification with CCS,3.905451871338876e-05,27.175856373104835,0.00014371035148699084
Other end uses,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,PEM electrolysis,22.23307230606173,27.175856373104835,81.81185534990229
Other end uses,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Steam methane reforming with CCS,0.05271194890347335,27.175856373104835,0.19396610057021368
Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen distribution,2.840969364339051,26.877369747832898,10.570116759911434
